frequency,raw
20.00,5.67
20.20,5.63
20.40,5.60
20.61,5.58
20.81,5.56
21.02,5.54
21.23,5.53
21.44,5.51
21.66,5.49
21.87,5.46
22.09,5.42
22.31,5.38
22.54,5.33
22.76,5.28
22.99,5.24
23.22,5.20
23.45,5.17
23.69,5.14
23.92,5.11
24.16,5.09
24.40,5.06
24.65,5.02
24.89,4.99
25.14,4.95
25.39,4.92
25.65,4.89
25.91,4.86
26.16,4.83
26.43,4.79
26.69,4.76
26.96,4.72
27.23,4.68
27.50,4.64
27.77,4.61
28.05,4.58
28.33,4.56
28.62,4.53
28.90,4.50
29.19,4.47
29.48,4.43
29.78,4.38
30.08,4.34
30.38,4.30
30.68,4.28
30.99,4.25
31.30,4.22
31.61,4.17
31.93,4.13
32.24,4.08
32.57,4.04
32.89,4.00
33.22,3.98
33.55,3.95
33.89,3.92
34.23,3.89
34.57,3.85
34.92,3.82
35.27,3.78
35.62,3.75
35.97,3.72
36.33,3.69
36.70,3.66
37.06,3.62
37.43,3.59
37.81,3.55
38.19,3.53
38.57,3.49
38.95,3.46
39.34,3.42
39.74,3.39
40.14,3.36
40.54,3.33
40.94,3.31
41.35,3.28
41.76,3.25
42.18,3.22
42.60,3.19
43.03,3.16
43.46,3.12
43.90,3.08
44.33,3.04
44.78,3.00
45.23,2.98
45.68,2.96
46.13,2.94
46.60,2.91
47.06,2.88
47.53,2.85
48.01,2.82
48.49,2.80
48.97,2.77
49.46,2.74
49.96,2.70
50.46,2.67
50.96,2.64
51.47,2.62
51.99,2.60
52.51,2.58
53.03,2.55
53.56,2.53
54.10,2.51
54.64,2.49
55.18,2.47
55.74,2.45
56.29,2.43
56.86,2.41
57.42,2.40
58.00,2.39
58.58,2.38
59.16,2.38
59.76,2.39
60.35,2.38
60.96,2.36
61.57,2.34
62.18,2.34
62.80,2.33
63.43,2.31
64.07,2.28
64.71,2.26
65.35,2.24
66.01,2.22
66.67,2.21
67.33,2.20
68.01,2.21
68.69,2.21
69.37,2.20
70.07,2.19
70.77,2.17
71.48,2.15
72.19,2.13
72.91,2.13
73.64,2.13
74.38,2.13
75.12,2.12
75.87,2.11
76.63,2.09
77.40,2.09
78.17,2.09
78.95,2.09
79.74,2.09
80.54,2.08
81.35,2.06
82.16,2.08
82.98,2.08
83.81,2.08
84.65,2.08
85.50,2.07
86.35,2.06
87.22,2.05
88.09,2.05
88.97,2.05
89.86,2.04
90.76,2.03
91.66,2.02
92.58,2.01
93.51,1.99
94.44,1.97
95.39,1.95
96.34,1.96
97.30,1.96
98.28,1.96
99.26,1.96
100.25,1.96
101.25,1.97
102.27,1.98
103.29,1.99
104.32,1.99
105.37,1.97
106.42,1.94
107.48,1.91
108.56,1.88
109.64,1.88
110.74,1.87
111.85,1.87
112.97,1.86
114.10,1.86
115.24,1.85
116.39,1.85
117.55,1.84
118.73,1.83
119.92,1.82
121.12,1.82
122.33,1.81
123.55,1.82
124.79,1.81
126.03,1.79
127.29,1.77
128.57,1.76
129.85,1.77
131.15,1.77
132.46,1.76
133.79,1.75
135.12,1.73
136.48,1.72
137.84,1.68
139.22,1.66
140.61,1.65
142.02,1.67
143.44,1.67
144.87,1.66
146.32,1.65
147.78,1.63
149.26,1.62
150.75,1.61
152.26,1.60
153.78,1.58
155.32,1.54
156.88,1.52
158.44,1.49
160.03,1.46
161.63,1.47
163.24,1.48
164.88,1.47
166.53,1.45
168.19,1.43
169.87,1.41
171.57,1.39
173.29,1.38
175.02,1.37
176.77,1.35
178.54,1.34
180.32,1.35
182.13,1.38
183.95,1.37
185.79,1.35
187.65,1.32
189.52,1.30
191.42,1.29
193.33,1.28
195.27,1.29
197.22,1.29
199.19,1.29
201.18,1.27
203.19,1.25
205.23,1.23
207.28,1.21
209.35,1.19
211.44,1.16
213.56,1.11
215.69,1.09
217.85,1.07
220.03,1.07
222.23,1.06
224.45,1.05
226.70,1.03
228.96,1.02
231.25,1.01
233.57,0.99
235.90,0.97
238.26,0.95
240.64,0.94
243.05,0.94
245.48,0.91
247.93,0.89
250.41,0.87
252.92,0.86
255.45,0.86
258.00,0.85
260.58,0.81
263.19,0.77
265.82,0.75
268.48,0.75
271.16,0.75
273.87,0.74
276.61,0.71
279.38,0.68
282.17,0.66
284.99,0.66
287.84,0.61
290.72,0.58
293.63,0.56
296.57,0.51
299.53,0.45
302.53,0.39
305.55,0.36
308.61,0.32
311.69,0.27
314.81,0.23
317.96,0.19
321.14,0.14
324.35,0.09
327.59,0.04
330.87,0.01
334.18,-0.00
337.52,-0.05
340.90,-0.12
344.30,-0.19
347.75,-0.26
351.23,-0.29
354.74,-0.31
358.28,-0.36
361.87,-0.41
365.49,-0.48
369.14,-0.54
372.83,-0.58
376.56,-0.64
380.33,-0.71
384.13,-0.73
387.97,-0.76
391.85,-0.81
395.77,-0.85
399.73,-0.90
403.72,-0.94
407.76,-0.99
411.84,-1.03
415.96,-1.07
420.12,-1.10
424.32,-1.12
428.56,-1.13
432.85,-1.14
437.18,-1.17
441.55,-1.20
445.96,-1.22
450.42,-1.22
454.93,-1.22
459.48,-1.23
464.07,-1.21
468.71,-1.21
473.40,-1.22
478.13,-1.21
482.91,-1.20
487.74,-1.19
492.62,-1.20
497.55,-1.16
502.52,-1.14
507.55,-1.18
512.62,-1.12
517.75,-1.07
522.93,-1.02
528.16,-1.00
533.44,-0.98
538.77,-0.95
544.16,-0.89
549.60,-0.86
555.10,-0.83
560.65,-0.76
566.25,-0.76
571.92,-0.76
577.64,-0.68
583.41,-0.63
589.25,-0.58
595.14,-0.54
601.09,-0.49
607.10,-0.43
613.17,-0.37
619.30,-0.39
625.50,-0.35
631.75,-0.28
638.07,-0.26
644.45,-0.19
650.89,-0.11
657.40,-0.10
663.98,-0.08
670.62,-0.06
677.32,-0.05
684.10,-0.01
690.94,0.01
697.85,0.02
704.83,0.02
711.87,0.04
718.99,0.08
726.18,0.08
733.44,0.10
740.78,0.13
748.19,0.13
755.67,0.09
763.23,0.06
770.86,0.10
778.57,0.09
786.35,0.09
794.22,0.10
802.16,0.10
810.18,0.07
818.28,0.02
826.46,0.00
834.73,-0.00
843.08,0.00
851.51,-0.00
860.02,-0.01
868.62,-0.02
877.31,-0.03
886.08,-0.04
894.94,-0.05
903.89,-0.06
912.93,-0.05
922.06,-0.05
931.28,-0.05
940.59,-0.07
950.00,-0.08
959.50,-0.10
969.09,-0.09
978.78,-0.06
988.57,-0.03
998.46,-0.00
1008.44,0.00
1018.53,0.01
1028.71,0.03
1039.00,0.06
1049.39,0.08
1059.88,0.07
1070.48,0.12
1081.19,0.17
1092.00,0.19
1102.92,0.22
1113.95,0.26
