frequency,raw
20.00,4.61
20.20,4.57
20.40,4.56
20.61,4.55
20.81,4.59
21.02,4.64
21.23,4.70
21.44,4.77
21.66,4.84
21.87,4.89
22.09,4.92
22.31,4.94
22.54,4.95
22.76,4.94
22.99,4.94
23.22,4.94
23.45,4.95
23.69,4.98
23.92,5.01
24.16,5.04
24.40,5.06
24.65,5.07
24.89,5.08
25.14,5.09
25.39,5.09
25.65,5.09
25.91,5.10
26.16,5.11
26.43,5.13
26.69,5.16
26.96,5.18
27.23,5.20
27.50,5.23
27.77,5.25
28.05,5.27
28.33,5.29
28.62,5.30
28.90,5.30
29.19,5.31
29.48,5.30
29.78,5.30
30.08,5.30
30.38,5.30
30.68,5.31
30.99,5.31
31.30,5.31
31.61,5.31
31.93,5.30
32.24,5.30
32.57,5.30
32.89,5.30
33.22,5.31
33.55,5.31
33.89,5.32
34.23,5.33
34.57,5.33
34.92,5.34
35.27,5.34
35.62,5.34
35.97,5.33
36.33,5.33
36.70,5.33
37.06,5.33
37.43,5.34
37.81,5.35
38.19,5.35
38.57,5.35
38.95,5.34
39.34,5.34
39.74,5.34
40.14,5.34
40.54,5.33
40.94,5.32
41.35,5.32
41.76,5.31
42.18,5.31
42.60,5.31
43.03,5.31
43.46,5.29
43.90,5.27
44.33,5.25
44.78,5.24
45.23,5.24
45.68,5.23
46.13,5.22
46.60,5.22
47.06,5.22
47.53,5.22
48.01,5.21
48.49,5.20
48.97,5.20
49.46,5.21
49.96,5.21
50.46,5.22
50.96,5.21
51.47,5.19
51.99,5.18
52.51,5.19
53.03,5.20
53.56,5.20
54.10,5.18
54.64,5.15
55.18,5.13
55.74,5.12
56.29,5.11
56.86,5.11
57.42,5.11
58.00,5.11
58.58,5.10
59.16,5.10
59.76,5.11
60.35,5.11
60.96,5.11
61.57,5.10
62.18,5.09
62.80,5.06
63.43,5.02
64.07,4.99
64.71,4.97
65.35,4.97
66.01,4.94
66.67,4.92
67.33,4.90
68.01,4.90
68.69,4.88
69.37,4.85
70.07,4.82
70.77,4.80
71.48,4.78
72.19,4.76
72.91,4.76
73.64,4.76
74.38,4.75
75.12,4.72
75.87,4.69
76.63,4.64
77.40,4.62
78.17,4.62
78.95,4.63
79.74,4.63
80.54,4.61
81.35,4.59
82.16,4.56
82.98,4.54
83.81,4.52
84.65,4.49
85.50,4.46
86.35,4.43
87.22,4.39
88.09,4.37
88.97,4.34
89.86,4.32
90.76,4.30
91.66,4.28
92.58,4.25
93.51,4.24
94.44,4.21
95.39,4.18
96.34,4.17
97.30,4.15
98.28,4.11
99.26,4.08
100.25,4.05
101.25,4.03
102.27,4.02
103.29,4.02
104.32,4.01
105.37,3.99
106.42,3.96
107.48,3.92
108.56,3.89
109.64,3.84
110.74,3.81
111.85,3.78
112.97,3.75
114.10,3.74
115.24,3.72
116.39,3.71
117.55,3.68
118.73,3.65
119.92,3.62
121.12,3.60
122.33,3.58
123.55,3.56
124.79,3.54
126.03,3.52
127.29,3.49
128.57,3.47
129.85,3.45
131.15,3.43
132.46,3.39
133.79,3.36
135.12,3.33
136.48,3.31
137.84,3.26
139.22,3.22
140.61,3.20
142.02,3.18
143.44,3.18
144.87,3.17
146.32,3.14
147.78,3.11
149.26,3.09
150.75,3.07
152.26,3.06
153.78,3.03
155.32,2.98
156.88,2.96
158.44,2.93
160.03,2.90
161.63,2.87
163.24,2.86
164.88,2.84
166.53,2.80
168.19,2.75
169.87,2.71
171.57,2.70
173.29,2.70
175.02,2.68
176.77,2.66
178.54,2.64
180.32,2.62
182.13,2.60
183.95,2.59
185.79,2.56
187.65,2.51
189.52,2.47
191.42,2.42
193.33,2.38
195.27,2.42
197.22,2.43
199.19,2.43
201.18,2.40
203.19,2.39
205.23,2.40
207.28,2.40
209.35,2.40
211.44,2.41
213.56,2.42
215.69,2.42
217.85,2.43
220.03,2.46
222.23,2.46
224.45,2.45
226.70,2.44
228.96,2.43
231.25,2.43
233.57,2.43
235.90,2.42
238.26,2.39
240.64,2.37
243.05,2.36
245.48,2.33
247.93,2.31
250.41,2.29
252.92,2.30
255.45,2.29
258.00,2.28
260.58,2.26
263.19,2.26
265.82,2.26
268.48,2.28
271.16,2.28
273.87,2.29
276.61,2.31
279.38,2.30
282.17,2.29
284.99,2.30
287.84,2.31
290.72,2.31
293.63,2.30
296.57,2.29
299.53,2.28
302.53,2.27
305.55,2.27
308.61,2.29
311.69,2.30
314.81,2.32
317.96,2.32
321.14,2.31
324.35,2.28
327.59,2.28
330.87,2.29
334.18,2.30
337.52,2.27
340.90,2.25
344.30,2.24
347.75,2.22
351.23,2.21
354.74,2.21
358.28,2.21
361.87,2.19
365.49,2.16
369.14,2.14
372.83,2.14
376.56,2.13
380.33,2.11
384.13,2.11
387.97,2.10
391.85,2.09
395.77,2.06
399.73,2.04
403.72,2.02
407.76,1.98
411.84,1.95
415.96,1.92
420.12,1.90
424.32,1.86
428.56,1.84
432.85,1.83
437.18,1.81
441.55,1.79
445.96,1.77
450.42,1.74
454.93,1.72
459.48,1.70
464.07,1.69
468.71,1.67
473.40,1.64
478.13,1.62
482.91,1.60
487.74,1.58
492.62,1.54
497.55,1.55
502.52,1.52
507.55,1.42
512.62,1.41
517.75,1.42
522.93,1.44
528.16,1.41
533.44,1.38
538.77,1.34
544.16,1.30
549.60,1.29
555.10,1.30
560.65,1.30
566.25,1.27
571.92,1.23
577.64,1.19
583.41,1.16
589.25,1.15
595.14,1.14
601.09,1.14
607.10,1.13
613.17,1.11
619.30,1.06
625.50,1.02
631.75,0.99
638.07,0.94
644.45,0.95
650.89,0.96
657.40,0.88
663.98,0.87
670.62,0.87
677.32,0.87
684.10,0.84
690.94,0.81
697.85,0.77
704.83,0.73
711.87,0.69
718.99,0.66
726.18,0.67
733.44,0.68
740.78,0.68
748.19,0.64
755.67,0.59
763.23,0.54
770.86,0.52
778.57,0.49
786.35,0.48
794.22,0.49
802.16,0.48
810.18,0.45
818.28,0.40
826.46,0.35
834.73,0.33
843.08,0.32
851.51,0.31
860.02,0.28
868.62,0.25
877.31,0.22
886.08,0.20
894.94,0.17
903.89,0.14
