frequency,raw
20.00,4.52
20.20,4.47
20.40,4.42
20.61,4.37
20.81,4.31
21.02,4.26
21.23,4.22
21.44,4.18
21.66,4.15
21.87,4.13
22.09,4.11
22.31,4.10
22.54,4.07
22.76,4.05
22.99,4.02
23.22,3.98
23.45,3.95
23.69,3.91
23.92,3.88
24.16,3.86
24.40,3.83
24.65,3.80
24.89,3.77
25.14,3.74
25.39,3.70
25.65,3.67
25.91,3.63
26.16,3.60
26.43,3.57
26.69,3.55
26.96,3.52
27.23,3.50
27.50,3.48
27.77,3.45
28.05,3.42
28.33,3.39
28.62,3.35
28.90,3.31
29.19,3.28
29.48,3.24
29.78,3.21
30.08,3.18
30.38,3.15
30.68,3.13
30.99,3.10
31.30,3.06
31.61,3.03
31.93,2.99
32.24,2.96
32.57,2.93
32.89,2.91
33.22,2.89
33.55,2.86
33.89,2.83
34.23,2.79
34.57,2.75
34.92,2.71
35.27,2.68
35.62,2.66
35.97,2.64
36.33,2.61
36.70,2.58
37.06,2.55
37.43,2.51
37.81,2.48
38.19,2.45
38.57,2.42
38.95,2.39
39.34,2.36
39.74,2.32
40.14,2.28
40.54,2.25
40.94,2.22
41.35,2.20
41.76,2.18
42.18,2.15
42.60,2.13
43.03,2.10
43.46,2.07
43.90,2.04
44.33,2.02
44.78,1.98
45.23,1.94
45.68,1.90
46.13,1.86
46.60,1.84
47.06,1.83
47.53,1.83
48.01,1.80
48.49,1.77
48.97,1.72
49.46,1.71
49.96,1.71
50.46,1.72
50.96,1.72
51.47,1.70
51.99,1.66
52.51,1.62
53.03,1.58
53.56,1.55
54.10,1.52
54.64,1.51
55.18,1.50
55.74,1.50
56.29,1.50
56.86,1.49
57.42,1.47
58.00,1.43
58.58,1.37
59.16,1.32
59.76,1.30
60.35,1.28
60.96,1.26
61.57,1.23
62.18,1.23
62.80,1.24
63.43,1.26
64.07,1.28
64.71,1.29
65.35,1.29
66.01,1.29
66.67,1.29
67.33,1.27
68.01,1.25
68.69,1.22
69.37,1.20
70.07,1.17
70.77,1.17
71.48,1.17
72.19,1.18
72.91,1.17
73.64,1.15
74.38,1.13
75.12,1.12
75.87,1.11
76.63,1.11
77.40,1.11
78.17,1.09
78.95,1.08
79.74,1.06
80.54,1.06
81.35,1.07
82.16,1.07
82.98,1.07
83.81,1.07
84.65,1.05
85.50,1.06
86.35,1.06
87.22,1.07
88.09,1.08
88.97,1.08
89.86,1.07
90.76,1.08
91.66,1.07
92.58,1.06
93.51,1.03
94.44,1.02
95.39,1.03
96.34,1.03
97.30,1.02
98.28,1.00
99.26,0.98
100.25,0.97
101.25,0.97
102.27,0.97
103.29,0.98
104.32,0.99
105.37,1.00
106.42,1.00
107.48,1.00
108.56,0.98
109.64,0.96
110.74,0.95
111.85,0.97
112.97,0.99
114.10,1.01
115.24,1.01
116.39,0.99
117.55,0.96
118.73,0.94
119.92,0.94
121.12,0.96
122.33,0.96
123.55,0.95
124.79,0.95
126.03,0.97
127.29,0.98
128.57,0.97
129.85,0.96
131.15,0.94
132.46,0.92
133.79,0.91
135.12,0.91
136.48,0.94
137.84,0.94
139.22,0.93
140.61,0.90
142.02,0.89
143.44,0.87
144.87,0.86
146.32,0.88
147.78,0.88
149.26,0.86
150.75,0.84
152.26,0.83
153.78,0.83
155.32,0.83
156.88,0.85
158.44,0.85
160.03,0.86
161.63,0.85
163.24,0.84
164.88,0.85
166.53,0.86
168.19,0.87
169.87,0.86
171.57,0.84
173.29,0.84
175.02,0.85
176.77,0.86
178.54,0.87
180.32,0.89
182.13,0.90
183.95,0.90
185.79,0.90
187.65,0.90
189.52,0.90
191.42,0.88
193.33,0.85
195.27,0.85
197.22,0.86
199.19,0.89
201.18,0.91
203.19,0.93
205.23,0.93
207.28,0.91
209.35,0.84
211.44,0.79
213.56,0.77
215.69,0.83
217.85,0.88
220.03,0.93
222.23,0.92
224.45,0.88
226.70,0.84
228.96,0.88
231.25,0.90
233.57,0.89
235.90,0.84
238.26,0.85
240.64,0.89
243.05,0.97
245.48,0.95
247.93,0.94
250.41,0.93
252.92,0.91
255.45,0.88
258.00,0.83
260.58,0.83
263.19,0.84
265.82,0.87
268.48,0.88
271.16,0.88
273.87,0.85
276.61,0.79
279.38,0.77
282.17,0.81
284.99,0.92
287.84,0.85
290.72,0.76
293.63,0.64
296.57,0.66
299.53,0.71
302.53,0.75
305.55,0.70
308.61,0.60
311.69,0.52
314.81,0.54
317.96,0.54
321.14,0.50
324.35,0.43
327.59,0.46
330.87,0.45
334.18,0.40
337.52,0.39
340.90,0.34
344.30,0.25
347.75,0.22
351.23,0.21
354.74,0.20
358.28,0.10
361.87,0.05
365.49,0.01
369.14,-0.04
372.83,-0.05
376.56,-0.08
380.33,-0.15
384.13,-0.19
387.97,-0.23
391.85,-0.27
395.77,-0.30
399.73,-0.33
403.72,-0.35
407.76,-0.36
411.84,-0.40
415.96,-0.44
420.12,-0.48
424.32,-0.50
428.56,-0.51
432.85,-0.52
437.18,-0.56
441.55,-0.60
445.96,-0.65
450.42,-0.66
454.93,-0.64
459.48,-0.61
464.07,-0.66
468.71,-0.69
473.40,-0.69
478.13,-0.64
482.91,-0.60
487.74,-0.60
492.62,-0.66
497.55,-0.59
502.52,-0.53
507.55,-0.56
512.62,-0.52
517.75,-0.46
522.93,-0.40
528.16,-0.41
533.44,-0.38
538.77,-0.31
544.16,-0.29
549.60,-0.23
555.10,-0.17
560.65,-0.15
566.25,-0.12
571.92,-0.07
577.64,0.02
583.41,0.07
589.25,0.11
595.14,0.17
601.09,0.22
607.10,0.26
613.17,0.29
619.30,0.27
625.50,0.34
631.75,0.46
638.07,0.47
644.45,0.47
650.89,0.48
657.40,0.56
663.98,0.56
670.62,0.56
677.32,0.62
684.10,0.61
690.94,0.62
697.85,0.65
704.83,0.67
711.87,0.66
718.99,0.63
726.18,0.69
733.44,0.69
740.78,0.65
748.19,0.64
755.67,0.67
763.23,0.70
770.86,0.62
778.57,0.63
786.35,0.64
794.22,0.66
802.16,0.63
810.18,0.59
818.28,0.57
826.46,0.55
834.73,0.53
843.08,0.50
851.51,0.45
860.02,0.38
868.62,0.31
877.31,0.34
886.08,0.30
894.94,0.25
903.89,0.21
912.93,0.19
922.06,0.18
931.28,0.16
940.59,0.12
950.00,0.08
959.50,0.05
969.09,0.02
978.78,0.00
988.57,-0.00
998.46,0.01
1008.44,-0.04
1018.53,-0.08
1028.71,-0.03
1039.00,-0.07
1049.39,-0.10
1059.88,-0.08
1070.48,-0.11
1081.19,-0.12
1092.00,-0.11
1102.92,-0.09
1113.95,-0.09
1125.09,-0.11
1136.34,-0.09
1147.70,-0.09
1159.18,-0.09
1170.77,-0.09
1182.48,-0.10
1194.30,-0.11
1206.25,-0.14
1218.31,-0.14
1230.49,-0.14
1242.80,-0.15
1255.22,-0.20
1267.78,-0.23
1280.45,-0.25
1293.26,-0.25
1306.19,-0.26
1319.25,-0.28
1332.45,-0.31
1345.77,-0.37
1359.23,-0.44
1372.82,-0.49
1386.55,-0.56
1400.41,-0.63
1414.42,-0.68
1428.56,-0.71
1442.85,-0.74
1457.28,-0.75
1471.85,-0.78
1486.57,-0.78
1501.43,-0.77
1516.45,-0.77
1531.61,-0.77
1546.93,-0.78
1562.40,-0.84
1578.02,-0.90
1593.80,-0.96
1609.74,-1.02
1625.84,-1.09
1642.10,-1.15
1658.52,-1.23
1675.10,-1.32
1691.85,-1.41
1708.77,-1.51
1725.86,-1.62
1743.12,-1.69
1760.55,-1.73
1778.15,-1.82
1795.94,-1.93
1813.90,-2.05
1832.03,-2.15
1850.36,-2.23
1868.86,-2.32
1887.55,-2.43
1906.42,-2.57
1925.49,-2.70
1944.74,-2.83
1964.19,-2.88
1983.83,-2.97
2003.67,-3.09
2023.71,-3.27
2043.94,-3.34
2064.38,-3.36
2085.03,-3.53
2105.88,-3.57
2126.94,-3.56
2148.20,-3.61
2169.69,-3.68
2191.38,-3.72
2213.30,-3.72
2235.43,-3.70
2257.78,-3.70
2280.36,-3.73
2303.17,-3.78
2326.20,-3.81
2349.46,-3.83
2372.95,-3.86
2396.68,-3.89
2420.65,-3.91
2444.86,-3.94
2469.31,-3.97
2494.00,-4.00
2518.94,-4.02
2544.13,-4.05
2569.57,-4.08
2595.27,-4.08
2621.22,-4.02
2647.43,-3.93
2673.90,-3.83
2700.64,-3.85
2727.65,-3.82
