frequency,raw
20.00,3.23
20.20,3.22
20.40,3.21
20.61,3.21
20.81,3.21
21.02,3.20
21.23,3.20
21.44,3.19
21.66,3.18
21.87,3.18
22.09,3.17
22.31,3.16
22.54,3.15
22.76,3.15
22.99,3.14
23.22,3.13
23.45,3.12
23.69,3.12
23.92,3.11
24.16,3.10
24.40,3.10
24.65,3.09
24.89,3.08
25.14,3.08
25.39,3.07
25.65,3.06
25.91,3.05
26.16,3.04
26.43,3.03
26.69,3.02
26.96,3.00
27.23,2.99
27.50,2.98
27.77,2.97
28.05,2.96
28.33,2.95
28.62,2.94
28.90,2.93
29.19,2.92
29.48,2.91
29.78,2.90
30.08,2.89
30.38,2.87
30.68,2.86
30.99,2.85
31.30,2.83
31.61,2.82
31.93,2.80
32.24,2.79
32.57,2.77
32.89,2.76
33.22,2.75
33.55,2.74
33.89,2.73
34.23,2.71
34.57,2.70
34.92,2.68
35.27,2.66
35.62,2.64
35.97,2.63
36.33,2.61
36.70,2.60
37.06,2.58
37.43,2.56
37.81,2.54
38.19,2.53
38.57,2.51
38.95,2.49
39.34,2.47
39.74,2.44
40.14,2.42
40.54,2.40
40.94,2.39
41.35,2.37
41.76,2.35
42.18,2.33
42.60,2.31
43.03,2.28
43.46,2.26
43.90,2.23
44.33,2.21
44.78,2.19
45.23,2.17
45.68,2.14
46.13,2.12
46.60,2.10
47.06,2.07
47.53,2.05
48.01,2.02
48.49,2.00
48.97,1.97
49.46,1.95
49.96,1.93
50.46,1.90
50.96,1.88
51.47,1.85
51.99,1.82
52.51,1.80
53.03,1.77
53.56,1.74
54.10,1.72
54.64,1.69
55.18,1.66
55.74,1.63
56.29,1.61
56.86,1.58
57.42,1.55
58.00,1.53
58.58,1.51
59.16,1.49
59.76,1.46
60.35,1.43
60.96,1.40
61.57,1.36
62.18,1.33
62.80,1.30
63.43,1.27
64.07,1.24
64.71,1.21
65.35,1.18
66.01,1.16
66.67,1.13
67.33,1.10
68.01,1.07
68.69,1.04
69.37,1.01
70.07,0.98
70.77,0.94
71.48,0.91
72.19,0.87
72.91,0.83
73.64,0.80
74.38,0.76
75.12,0.73
75.87,0.70
76.63,0.67
77.40,0.63
78.17,0.60
78.95,0.56
79.74,0.53
80.54,0.50
81.35,0.46
82.16,0.43
82.98,0.40
83.81,0.37
84.65,0.33
85.50,0.29
86.35,0.26
87.22,0.22
88.09,0.18
88.97,0.14
89.86,0.10
90.76,0.06
91.66,0.03
92.58,-0.01
93.51,-0.04
94.44,-0.08
95.39,-0.12
96.34,-0.16
97.30,-0.20
98.28,-0.24
99.26,-0.28
100.25,-0.32
101.25,-0.36
102.27,-0.41
103.29,-0.45
104.32,-0.50
105.37,-0.54
106.42,-0.58
