frequency;raw
2,96;-54,33
3,01;-54,44
3,07;-54,55
3,13;-54,67
3,19;-54,78
3,25;-54,89
3,31;-55,01
3,37;-55,13
3,43;-55,26
3,49;-55,37
3,56;-55,49
3,63;-55,60
3,69;-55,71
3,76;-55,83
3,83;-55,94
3,90;-56,07
3,98;-56,18
4,05;-56,31
4,13;-56,42
4,20;-56,52
4,28;-56,65
4,36;-56,76
4,44;-56,87
4,53;-57,00
4,61;-57,12
4,70;-57,23
4,78;-57,34
4,87;-57,47
4,96;-57,57
5,06;-57,68
5,15;-57,82
5,25;-57,94
5,34;-58,05
5,44;-58,16
5,55;-58,28
5,65;-58,39
5,75;-58,50
5,86;-58,64
5,97;-58,87
6,08;-59,11
6,19;-59,39
6,31;-59,63
6,43;-59,89
6,55;-60,12
6,67;-60,40
6,79;-60,64
6,92;-60,89
7,05;-61,16
7,18;-61,41
7,31;-61,65
7,45;-61,90
7,59;-62,17
7,73;-62,41
7,88;-62,66
8,02;-62,93
8,17;-63,16
8,32;-63,42
8,48;-63,67
8,64;-63,94
8,80;-64,19
8,96;-64,49
9,13;-64,80
9,30;-65,10
9,47;-65,41
9,65;-65,70
9,83;-66,03
10,01;-66,33
10,20;-66,64
10,39;-66,93
10,58;-67,24
10,78;-67,55
10,98;-67,87
11,19;-68,15
11,39;-68,47
11,61;-68,78
11,82;-69,01
12,04;-69,16
12,27;-69,31
12,50;-69,45
12,73;-69,59
12,97;-69,74
13,21;-69,89
13,45;-70,04
13,70;-70,17
13,96;-70,32
14,22;-70,46
14,48;-70,61
14,75;-70,65
15,03;-70,53
15,31;-70,40
15,60;-70,28
15,89;-70,14
16,18;-70,02
16,48;-69,89
16,79;-69,75
17,10;-69,63
17,42;-69,50
17,75;-69,41
18,08;-69,35
18,41;-69,30
18,76;-69,24
19,11;-69,18
19,46;-69,14
19,83;-69,08
20,20;-69,03
20,57;-68,96
20,96;-68,81
21,35;-68,66
21,74;-68,51
22,15;-68,36
22,56;-68,22
22,98;-68,06
23,41;-67,92
23,85;-67,80
24,29;-67,69
24,74;-67,57
25,21;-67,46
25,68;-67,36
26,15;-67,25
26,64;-67,19
27,14;-67,17
27,64;-67,12
28,16;-67,12
28,68;-67,12
29,22;-67,09
29,76;-66,97
30,32;-66,82
30,88;-66,67
31,46;-66,52
32,04;-66,38
32,64;-66,30
33,25;-66,30
33,87;-66,30
34,50;-66,30
35,14;-66,30
35,80;-66,20
36,47;-66,10
37,15;-65,99
37,84;-65,88
38,54;-65,74
39,26;-65,60
39,99;-65,45
40,74;-65,30
41,50;-65,20
42,27;-65,10
43,06;-65,03
43,86;-64,91
44,68;-64,79
45,51;-64,61
46,36;-64,45
47,22;-64,28
48,10;-64,20
49,00;-64,10
49,91;-64,02
50,84;-63,89
51,79;-63,75
52,76;-63,63
53,74;-63,46
54,74;-63,31
55,76;-63,15
56,80;-62,93
57,86;-62,73
58,94;-62,54
60,04;-62,39
61,16;-62,25
62,30;-62,07
63,46;-61,88
64,64;-61,68
65,84;-61,51
67,07;-61,34
68,32;-61,17
69,59;-60,98
70,89;-60,78
72,21;-60,57
73,56;-60,36
74,93;-60,21
76,33;-60,04
77,75;-59,88
79,20;-59,67
80,67;-59,48
82,18;-59,29
83,71;-59,11
85,27;-58,92
86,86;-58,72
88,48;-58,53
90,13;-58,34
91,81;-58,19
93,52;-58,08
95,26;-58,11
97,03;-58,20
98,84;-58,26
100,69;-58,08
102,56;-57,70
104,47;-57,44
106,42;-57,25
108,40;-57,08
110,42;-56,88
112,48;-56,67
114,58;-56,50
116,71;-56,36
118,89;-56,20
121,10;-56,02
123,36;-55,86
125,66;-55,69
128,00;-55,57
130,39;-55,43
132,82;-55,28
135,29;-55,13
137,82;-54,97
140,38;-54,79
143,00;-54,63
145,67;-54,51
148,38;-54,36
151,15;-54,18
153,96;-54,02
156,83;-53,85
159,75;-53,72
162,73;-53,57
165,76;-53,40
168,85;-53,28
172,00;-53,13
175,21;-52,91
178,47;-52,72
181,80;-52,58
185,19;-52,42
188,64;-52,24
192,15;-52,04
195,73;-51,86
199,38;-51,70
203,10;-51,52
206,88;-51,38
210,74;-51,24
214,67;-51,03
218,67;-50,80
222,74;-50,61
226,89;-50,43
231,12;-50,23
235,43;-50,08
239,82;-49,89
244,29;-49,71
248,84;-49,52
253,48;-49,30
258,20;-49,08
263,01;-48,89
267,92;-48,70
272,91;-48,47
278,00;-48,26
283,18;-48,10
288,45;-47,94
293,83;-47,66
299,31;-47,44
304,89;-47,23
310,57;-47,06
316,36;-46,89
322,25;-46,67
328,26;-46,46
334,38;-46,26
340,61;-46,07
346,95;-45,92
353,42;-45,73
360,01;-45,59
366,72;-45,41
372,86;-45,30
384,75;-42,58
391,92;-42,35
399,23;-42,10
406,67;-41,86
414,25;-41,62
421,97;-41,39
429,83;-41,17
437,84;-40,90
446,00;-40,63
454,32;-40,44
462,78;-40,22
471,41;-39,95
480,19;-39,69
489,14;-39,46
498,26;-39,21
507,55;-38,95
517,00;-38,75
526,64;-38,47
536,45;-38,20
546,45;-37,98
556,64;-37,74
567,01;-37,49
577,58;-37,27
588,34;-36,99
599,31;-36,74
610,48;-36,59
621,86;-36,24
633,44;-35,97
645,25;-35,69
657,28;-35,61
669,53;-35,35
682,00;-35,07
