frequency;raw
2,95;-55,27
3,01;-55,35
3,06;-55,43
3,12;-55,53
3,18;-55,61
3,24;-55,69
3,30;-55,77
3,36;-55,87
3,42;-55,95
3,48;-56,03
3,55;-56,11
3,62;-56,21
3,68;-56,29
3,75;-56,37
3,82;-56,46
3,89;-56,55
3,97;-56,63
4,04;-56,71
4,11;-56,80
4,19;-56,89
4,27;-56,97
4,35;-57,05
4,43;-57,14
4,51;-57,23
4,60;-57,31
4,68;-57,40
4,77;-57,48
4,86;-57,57
4,95;-57,65
5,04;-57,74
5,14;-57,82
5,23;-57,91
5,33;-58,00
5,43;-58,08
5,53;-58,16
5,63;-58,25
5,74;-58,34
5,84;-58,42
5,95;-58,55
6,06;-58,70
6,18;-58,84
6,29;-58,98
6,41;-59,13
6,53;-59,26
6,65;-59,40
6,77;-59,55
6,90;-59,68
7,03;-59,82
7,16;-59,97
7,29;-60,11
7,43;-60,26
7,57;-60,39
7,71;-60,53
7,85;-60,68
8,00;-60,82
8,15;-60,95
8,30;-61,10
8,46;-61,24
8,61;-61,39
8,77;-61,54
8,94;-61,85
9,10;-62,18
9,27;-62,51
9,45;-62,83
9,62;-63,15
9,80;-63,49
9,98;-63,83
10,17;-64,14
10,36;-64,47
10,55;-64,79
10,75;-65,12
10,95;-65,46
11,15;-65,79
11,36;-66,10
11,57;-66,44
11,79;-66,84
12,01;-67,36
12,23;-67,87
12,46;-68,36
12,69;-68,88
12,93;-69,40
13,17;-69,92
13,42;-70,42
13,67;-70,94
13,92;-71,46
14,18;-71,98
14,44;-72,48
14,71;-72,83
14,99;-72,90
15,27;-72,97
15,55;-73,03
15,84;-73,09
16,14;-73,15
16,44;-73,22
16,74;-73,27
17,06;-73,34
17,37;-73,39
17,70;-73,26
18,03;-72,88
18,36;-72,49
18,71;-72,10
19,05;-71,72
19,41;-71,35
19,77;-70,95
20,14;-70,57
20,52;-70,20
20,90;-69,93
21,29;-69,67
21,68;-69,40
22,09;-69,13
22,50;-68,86
22,92;-68,60
23,35;-68,36
23,78;-68,32
24,22;-68,32
24,68;-68,32
25,14;-68,32
25,60;-68,32
26,08;-68,32
26,57;-68,17
27,06;-67,90
27,57;-67,63
28,08;-67,36
28,60;-67,08
29,14;-66,84
29,68;-66,80
30,23;-66,84
30,80;-66,89
31,37;-66,96
31,96;-67,00
32,55;-66,99
33,16;-66,95
33,78;-66,89
34,41;-66,83
35,05;-66,78
35,70;-66,63
36,36;-66,47
37,04;-66,29
37,73;-66,16
38,44;-65,99
39,15;-65,84
39,88;-65,68
40,63;-65,54
41,38;-65,44
42,15;-65,37
42,94;-65,31
43,74;-65,23
44,55;-65,11
45,39;-64,93
46,23;-64,77
47,09;-64,59
47,97;-64,41
48,86;-64,24
49,78;-64,06
50,70;-63,99
51,65;-63,94
52,61;-63,87
53,59;-63,81
54,59;-63,76
55,61;-63,65
56,64;-63,43
57,70;-63,19
58,77;-62,97
59,87;-62,90
60,99;-62,86
62,12;-62,70
63,28;-62,46
64,46;-62,25
65,66;-62,07
66,88;-61,93
68,13;-61,77
69,40;-61,61
70,69;-61,46
