frequency;raw
2,96;-54,60
3,01;-54,71
3,07;-54,82
3,13;-54,94
3,19;-55,05
3,25;-55,16
3,31;-55,28
3,37;-55,39
3,43;-55,53
3,49;-55,64
3,56;-55,76
3,63;-55,87
3,69;-55,98
3,76;-56,10
3,83;-56,21
3,90;-56,32
3,98;-56,44
4,05;-56,55
4,13;-56,66
4,20;-56,78
4,28;-56,89
4,36;-57,00
4,44;-57,14
4,53;-57,26
4,61;-57,37
4,70;-57,48
4,78;-57,60
4,87;-57,71
4,96;-57,82
5,06;-57,94
5,15;-58,05
5,25;-58,16
5,34;-58,28
5,44;-58,39
5,55;-58,50
5,65;-58,62
5,75;-58,73
5,86;-58,86
5,97;-59,11
6,08;-59,39
6,19;-59,63
6,31;-59,91
6,43;-60,16
6,55;-60,44
6,67;-60,70
6,79;-60,97
6,92;-61,21
7,05;-61,49
7,18;-61,76
7,31;-62,02
7,45;-62,28
7,59;-62,55
7,73;-62,80
7,88;-63,07
8,02;-63,34
8,17;-63,61
8,32;-63,86
8,48;-64,13
8,64;-64,39
8,80;-64,66
8,96;-65,00
9,13;-65,37
9,30;-65,71
9,47;-66,07
9,65;-66,44
9,83;-66,78
10,01;-67,16
10,20;-67,49
10,39;-67,85
10,58;-68,21
10,78;-68,56
10,98;-68,93
11,19;-69,26
11,39;-69,64
11,61;-69,98
11,82;-70,36
12,04;-70,77
12,27;-71,18
12,50;-71,60
12,73;-72,01
12,97;-72,42
13,21;-72,83
13,45;-73,25
13,70;-73,66
13,96;-74,07
14,22;-74,48
14,48;-74,89
14,75;-75,17
15,03;-75,24
15,31;-75,30
15,60;-75,37
15,89;-75,42
16,18;-75,47
16,48;-75,54
16,79;-75,58
17,10;-75,65
17,42;-75,71
17,75;-75,42
18,08;-74,75
18,41;-74,07
18,76;-73,39
19,11;-72,71
19,46;-72,03
19,83;-71,34
20,20;-70,66
20,57;-70,05
20,96;-69,64
21,35;-69,30
21,74;-68,96
22,15;-68,62
22,56;-68,28
22,98;-67,94
23,41;-67,61
23,85;-67,50
24,29;-67,44
24,74;-67,39
25,21;-67,34
25,68;-67,29
26,15;-67,25
26,64;-67,19
27,14;-67,17
27,64;-67,12
28,16;-67,10
28,68;-67,05
29,22;-67,02
29,76;-66,94
30,32;-66,82
30,88;-66,74
31,46;-66,61
32,04;-66,53
32,64;-66,44
33,25;-66,42
33,87;-66,37
34,50;-66,31
35,14;-66,29
35,80;-66,20
36,47;-66,14
37,15;-66,05
37,84;-65,99
38,54;-65,85
39,26;-65,67
39,99;-65,50
40,74;-65,35
41,50;-65,15
42,27;-65,02
43,06;-64,87
43,86;-64,73
44,68;-64,62
45,51;-64,51
46,36;-64,42
47,22;-64,32
48,10;-64,23
49,00;-64,15
49,91;-64,02
50,84;-63,85
51,79;-63,65
52,76;-63,45
53,74;-63,31
54,74;-63,19
55,76;-63,04
56,80;-62,88
57,86;-62,67
58,94;-62,51
60,04;-62,39
61,16;-62,25
62,30;-62,09
63,46;-61,88
64,64;-61,68
65,84;-61,49
67,07;-61,31
68,32;-61,16
69,59;-61,05
70,89;-60,89
72,21;-60,67
73,56;-60,46
74,93;-60,29
76,33;-60,11
77,75;-59,95
79,20;-59,77
80,67;-59,61
82,18;-59,43
83,71;-59,24
85,27;-59,07
86,86;-58,86
88,48;-58,67
90,13;-58,49
91,81;-58,35
93,52;-58,24
95,26;-58,30
97,03;-58,42
98,84;-58,49
100,69;-58,31
102,56;-57,94
104,47;-57,72
106,42;-57,56
108,40;-57,38
