frequency;raw
2,96;-54,33
3,02;-54,47
3,07;-54,58
3,13;-54,68
3,19;-54,81
3,25;-54,93
3,31;-55,05
3,37;-55,16
3,43;-55,28
3,50;-55,42
3,56;-55,53
3,63;-55,64
3,70;-55,76
3,76;-55,88
3,83;-56,01
3,91;-56,12
3,98;-56,24
4,05;-56,37
4,13;-56,48
4,21;-56,59
4,28;-56,72
4,36;-56,85
4,44;-56,96
4,53;-57,07
4,61;-57,19
4,70;-57,33
4,79;-57,44
4,87;-57,55
4,97;-57,67
5,06;-57,81
5,15;-57,92
5,25;-58,02
5,35;-58,15
5,45;-58,28
5,55;-58,39
5,65;-58,50
5,76;-58,62
5,86;-58,77
5,97;-58,98
6,08;-59,25
6,20;-59,50
6,31;-59,76
6,43;-60,01
6,55;-60,26
6,67;-60,53
6,80;-60,78
6,92;-61,02
7,05;-61,30
7,18;-61,54
7,32;-61,80
7,45;-62,03
7,59;-62,31
7,73;-62,55
7,88;-62,80
8,02;-63,07
8,17;-63,31
8,32;-63,57
8,48;-63,83
8,64;-64,08
8,80;-64,35
8,96;-64,66
9,13;-65,00
9,30;-65,30
9,47;-65,66
9,65;-65,97
9,83;-66,30
10,01;-66,64
10,20;-66,97
10,39;-67,29
10,58;-67,62
10,78;-67,95
10,98;-68,28
11,18;-68,62
11,39;-68,94
11,61;-69,26
11,82;-69,61
12,04;-69,99
12,27;-70,36
12,49;-70,74
12,73;-71,13
12,96;-71,51
13,21;-71,86
13,45;-72,24
13,70;-72,63
13,96;-73,01
14,22;-73,36
14,48;-73,76
14,75;-74,04
15,03;-74,25
15,31;-74,43
15,59;-74,62
15,88;-74,81
16,18;-74,98
16,48;-75,17
16,79;-75,35
17,10;-75,56
17,42;-75,72
17,74;-75,52
18,07;-74,89
18,41;-74,23
18,75;-73,59
19,10;-72,91
19,46;-72,26
19,82;-71,62
20,19;-70,96
20,57;-70,39
20,95;-70,10
21,34;-69,84
21,74;-69,59
22,14;-69,34
22,55;-69,07
22,97;-68,82
23,40;-68,58
23,84;-68,44
24,28;-68,32
24,73;-68,22
25,20;-68,10
25,66;-68,00
26,14;-67,89
26,63;-67,79
27,13;-67,70
27,63;-67,62
28,15;-67,54
28,67;-67,47
29,20;-67,38
29,75;-67,31
30,30;-67,24
30,87;-67,16
31,44;-67,09
32,03;-67,02
32,62;-66,84
33,23;-66,64
33,85;-66,42
34,48;-66,20
35,12;-66,00
35,78;-66,05
36,44;-66,16
37,12;-66,27
37,81;-66,40
38,52;-66,31
39,24;-66,15
39,97;-65,97
40,71;-65,77
41,47;-65,60
42,24;-65,43
43,03;-65,22
43,83;-65,06
44,65;-64,84
45,48;-64,62
46,33;-64,40
47,19;-64,16
48,07;-63,85
48,96;-63,55
49,88;-63,33
50,81;-63,45
51,75;-63,63
52,72;-63,75
53,70;-63,55
54,70;-63,26
55,72;-63,04
56,76;-63,15
57,81;-63,31
58,89;-63,35
59,99;-63,12
61,10;-62,89
62,24;-62,73
63,40;-62,59
64,58;-62,46
65,79;-62,26
67,01;-62,06
68,26;-61,86
69,53;-61,66
70,83;-61,50
72,15;-61,35
73,49;-61,20
74,86;-61,04
76,25;-60,86
77,67;-60,70
79,12;-60,55
80,60;-60,38
82,10;-60,22
83,63;-60,04
85,18;-59,86
86,77;-59,62
88,39;-59,39
90,03;-59,17
91,71;-59,06
93,42;-59,01
95,16;-58,91
96,93;-58,77
98,74;-58,64
100,58;-58,50
102,45;-58,39
104,36;-58,26
106,30;-58,17
108,28;-58,12
110,30;-58,19
112,36;-58,13
114,45;-57,96
116,58;-57,67
118,75;-57,45
120,96;-57,30
123,22;-57,17
125,51;-57,04
127,85;-56,88
130,23;-56,76
132,66;-56,69
135,13;-56,61
