frequency,raw
20.0,-0.54
20.2,-0.58
20.4,-0.6
20.61,-0.59
20.81,-0.56
21.02,-0.51
21.23,-0.45
21.44,-0.38
21.66,-0.31
21.87,-0.26
22.09,-0.22
22.31,-0.2
22.54,-0.2
22.76,-0.2
22.99,-0.2
23.22,-0.21
23.45,-0.19
23.69,-0.17
23.92,-0.14
24.16,-0.11
24.4,-0.09
24.65,-0.08
24.89,-0.07
25.14,-0.06
25.39,-0.06
25.65,-0.06
25.91,-0.06
26.16,-0.04
26.43,-0.03
26.69,-0.0
26.96,0.02
27.23,0.04
27.5,0.07
27.77,0.08
28.05,0.11
28.33,0.12
28.62,0.13
28.9,0.13
29.19,0.13
29.48,0.13
29.78,0.12
30.08,0.12
30.38,0.12
30.68,0.12
30.99,0.12
31.3,0.12
31.61,0.12
31.93,0.11
32.24,0.1
32.57,0.1
32.89,0.1
33.22,0.1
33.55,0.1
33.89,0.11
34.23,0.11
34.57,0.11
34.92,0.11
35.27,0.12
35.62,0.11
35.97,0.1
36.33,0.1
36.7,0.09
37.06,0.1
37.43,0.11
37.81,0.11
38.19,0.11
38.57,0.11
38.95,0.1
39.34,0.11
39.74,0.1
40.14,0.1
40.54,0.09
40.94,0.08
41.35,0.08
41.76,0.07
42.18,0.08
42.6,0.08
43.03,0.08
43.46,0.06
43.9,0.05
44.33,0.04
44.78,0.04
45.23,0.03
45.68,0.03
46.13,0.04
46.6,0.04
47.06,0.04
47.53,0.05
48.01,0.06
48.49,0.06
48.97,0.06
49.46,0.08
49.96,0.1
50.46,0.11
50.96,0.11
51.47,0.11
51.99,0.12
52.51,0.13
53.03,0.15
53.56,0.16
54.1,0.15
54.64,0.14
55.18,0.13
55.74,0.13
56.29,0.13
56.86,0.14
57.42,0.14
58.0,0.14
58.58,0.15
59.16,0.15
59.76,0.16
60.35,0.17
60.96,0.16
61.57,0.16
62.18,0.14
62.8,0.11
63.43,0.07
64.07,0.05
64.71,0.02
65.35,0.0
66.01,-0.02
66.67,-0.05
67.33,-0.07
68.01,-0.08
68.69,-0.1
69.37,-0.13
70.07,-0.16
70.77,-0.18
71.48,-0.2
72.19,-0.22
72.91,-0.22
73.64,-0.22
74.38,-0.22
75.12,-0.24
75.87,-0.27
76.63,-0.3
77.4,-0.31
78.17,-0.3
78.95,-0.28
79.74,-0.26
80.54,-0.26
81.35,-0.26
82.16,-0.26
82.98,-0.27
83.81,-0.26
84.65,-0.26
85.5,-0.26
86.35,-0.26
87.22,-0.26
88.09,-0.25
88.97,-0.24
89.86,-0.22
90.76,-0.21
91.66,-0.19
92.58,-0.16
93.51,-0.15
94.44,-0.13
95.39,-0.11
96.34,-0.09
97.3,-0.08
98.28,-0.07
99.26,-0.06
100.25,-0.06
101.25,-0.04
102.27,-0.02
103.29,0.01
104.32,0.03
105.37,0.03
106.42,0.03
107.48,0.02
108.56,0.01
109.64,-0.01
110.74,-0.01
111.85,-0.02
112.97,-0.02
114.1,-0.01
115.24,0.01
116.39,0.01
117.55,0.01
118.73,0.01
119.92,0.02
121.12,0.02
122.33,0.03
123.55,0.04
124.79,0.05
126.03,0.06
127.29,0.06
128.57,0.07
129.85,0.08
131.15,0.08
132.46,0.08
133.79,0.08
135.12,0.07
136.48,0.07
137.84,0.07
139.22,0.06
140.61,0.05
142.02,0.07
143.44,0.08
144.87,0.1
146.32,0.1
147.78,0.1
149.26,0.1
150.75,0.11
152.26,0.11
153.78,0.11
155.32,0.1
156.88,0.08
158.44,0.07
160.03,0.07
161.63,0.07
163.24,0.07
164.88,0.07
166.53,0.05
168.19,0.03
169.87,0.01
171.57,0.01
173.29,0.01
175.02,0.02
176.77,0.02
178.54,0.0
