frequency,raw
20.0,0.65
20.2,0.62
20.4,0.59
20.61,0.56
20.81,0.53
21.02,0.5
21.23,0.47
21.44,0.46
21.66,0.45
21.87,0.46
22.09,0.46
22.31,0.46
22.54,0.47
22.76,0.46
22.99,0.45
23.22,0.44
23.45,0.42
23.69,0.41
23.92,0.4
24.16,0.4
24.4,0.39
24.65,0.38
24.89,0.38
25.14,0.37
25.39,0.36
25.65,0.35
25.91,0.33
26.16,0.32
26.43,0.32
26.69,0.31
26.96,0.31
27.23,0.31
27.5,0.3
27.77,0.3
28.05,0.29
28.33,0.28
28.62,0.26
28.9,0.25
29.19,0.23
29.48,0.21
29.78,0.2
30.08,0.2
30.38,0.19
30.68,0.18
30.99,0.17
31.3,0.16
31.61,0.14
31.93,0.13
32.24,0.11
32.57,0.11
32.89,0.1
33.22,0.1
33.55,0.09
33.89,0.08
34.23,0.06
34.57,0.03
34.92,0.02
35.27,0.01
35.62,0.0
35.97,-0.01
36.33,-0.02
36.7,-0.03
37.06,-0.05
37.43,-0.07
37.81,-0.08
38.19,-0.09
38.57,-0.11
38.95,-0.12
39.34,-0.14
39.74,-0.16
40.14,-0.18
40.54,-0.2
40.94,-0.21
41.35,-0.23
41.76,-0.23
42.18,-0.24
42.6,-0.25
43.03,-0.26
43.46,-0.28
43.9,-0.29
44.33,-0.31
44.78,-0.32
45.23,-0.35
45.68,-0.39
46.13,-0.41
46.6,-0.41
47.06,-0.41
47.53,-0.4
48.01,-0.42
48.49,-0.44
48.97,-0.46
49.46,-0.46
49.96,-0.46
50.46,-0.43
50.96,-0.42
51.47,-0.43
51.99,-0.45
52.51,-0.48
53.03,-0.5
53.56,-0.53
54.1,-0.54
54.64,-0.54
55.18,-0.53
55.74,-0.51
56.29,-0.51
56.86,-0.5
57.42,-0.51
58.0,-0.54
58.58,-0.57
59.16,-0.61
59.76,-0.61
60.35,-0.62
60.96,-0.63
61.57,-0.63
62.18,-0.62
62.8,-0.59
63.43,-0.56
64.07,-0.53
64.71,-0.5
65.35,-0.48
66.01,-0.46
66.67,-0.45
67.33,-0.44
68.01,-0.44
68.69,-0.45
69.37,-0.46
70.07,-0.46
70.77,-0.44
71.48,-0.42
72.19,-0.4
72.91,-0.38
73.64,-0.37
74.38,-0.37
75.12,-0.36
75.87,-0.34
76.63,-0.32
77.4,-0.3
78.17,-0.29
78.95,-0.29
79.74,-0.26
80.54,-0.24
81.35,-0.21
82.16,-0.19
82.98,-0.16
83.81,-0.14
84.65,-0.11
85.5,-0.09
86.35,-0.06
87.22,-0.03
88.09,0.01
88.97,0.04
89.86,0.06
90.76,0.09
91.66,0.11
92.58,0.13
