frequency,raw
20.0,0.06
20.2,0.03
20.4,0.01
20.61,-0.0
20.81,-0.0
21.02,-0.0
21.23,0.01
21.44,0.03
21.66,0.06
21.87,0.08
22.09,0.09
22.31,0.09
22.54,0.08
22.76,0.08
22.99,0.06
23.22,0.04
23.45,0.04
23.69,0.03
23.92,0.03
24.16,0.05
24.4,0.06
24.65,0.09
24.89,0.11
25.14,0.14
25.39,0.16
25.65,0.16
25.91,0.16
26.16,0.16
26.43,0.14
26.69,0.13
26.96,0.14
27.23,0.15
27.5,0.16
27.77,0.18
28.05,0.2
28.33,0.22
28.62,0.23
28.9,0.24
29.19,0.24
29.48,0.22
29.78,0.22
30.08,0.21
30.38,0.21
30.68,0.22
30.99,0.23
31.3,0.24
31.61,0.25
31.93,0.25
32.24,0.24
32.57,0.23
32.89,0.22
33.22,0.21
33.55,0.21
33.89,0.22
34.23,0.22
34.57,0.22
34.92,0.22
35.27,0.21
35.62,0.2
35.97,0.19
36.33,0.18
36.7,0.18
37.06,0.17
37.43,0.18
37.81,0.18
38.19,0.18
38.57,0.17
38.95,0.15
39.34,0.14
39.74,0.15
40.14,0.16
40.54,0.17
40.94,0.17
41.35,0.18
41.76,0.17
42.18,0.17
42.6,0.17
43.03,0.17
43.46,0.16
43.9,0.16
44.33,0.16
44.78,0.15
45.23,0.15
45.68,0.15
46.13,0.15
46.6,0.14
47.06,0.13
47.53,0.13
48.01,0.13
48.49,0.11
48.97,0.1
49.46,0.08
49.96,0.07
50.46,0.04
50.96,0.02
51.47,0.0
51.99,-0.03
52.51,-0.06
53.03,-0.09
53.56,-0.11
54.1,-0.14
54.64,-0.18
55.18,-0.21
55.74,-0.25
56.29,-0.28
56.86,-0.31
57.42,-0.35
58.0,-0.38
58.58,-0.42
59.16,-0.45
59.76,-0.47
60.35,-0.5
60.96,-0.52
61.57,-0.55
62.18,-0.57
62.8,-0.58
63.43,-0.6
64.07,-0.62
64.71,-0.64
65.35,-0.67
66.01,-0.68
66.67,-0.69
67.33,-0.71
68.01,-0.72
68.69,-0.74
69.37,-0.75
70.07,-0.76
70.77,-0.76
71.48,-0.78
72.19,-0.79
72.91,-0.8
73.64,-0.81
74.38,-0.81
75.12,-0.81
75.87,-0.81
76.63,-0.81
77.4,-0.8
78.17,-0.8
78.95,-0.78
79.74,-0.78
80.54,-0.76
81.35,-0.73
82.16,-0.71
82.98,-0.67
83.81,-0.63
84.65,-0.6
85.5,-0.56
86.35,-0.52
87.22,-0.47
88.09,-0.41
88.97,-0.37
89.86,-0.32
90.76,-0.27
91.66,-0.22
92.58,-0.17
93.51,-0.11
94.44,-0.07
95.39,-0.01
96.34,0.04
97.3,0.08
98.28,0.13
99.26,0.18
100.25,0.23
101.25,0.28
102.27,0.32
103.29,0.37
104.32,0.4
105.37,0.45
106.42,0.48
107.48,0.52
108.56,0.55
109.64,0.59
110.74,0.62
111.85,0.66
112.97,0.69
114.1,0.73
115.24,0.77
116.39,0.8
117.55,0.82
118.73,0.85
119.92,0.87
121.12,0.88
122.33,0.89
123.55,0.9
124.79,0.9
126.03,0.89
127.29,0.89
128.57,0.88
129.85,0.88
131.15,0.87
132.46,0.86
133.79,0.84
135.12,0.83
136.48,0.82
137.84,0.8
139.22,0.78
140.61,0.77
142.02,0.74
143.44,0.71
144.87,0.68
146.32,0.64
147.78,0.6
149.26,0.56
150.75,0.51
152.26,0.46
153.78,0.42
155.32,0.37
156.88,0.33
158.44,0.28
160.03,0.23
161.63,0.19
163.24,0.13
164.88,0.08
166.53,0.04
168.19,-0.02
169.87,-0.07
171.57,-0.11
173.29,-0.15
175.02,-0.18
176.77,-0.2
178.54,-0.23
180.32,-0.24
182.13,-0.26
183.95,-0.29
185.79,-0.31
187.65,-0.33
189.52,-0.36
191.42,-0.37
193.33,-0.39
195.27,-0.41
197.22,-0.43
199.19,-0.43
201.18,-0.45
203.19,-0.45
205.23,-0.45
207.28,-0.45
209.35,-0.46
211.44,-0.46
213.56,-0.46
215.69,-0.45
217.85,-0.46
220.03,-0.45
222.23,-0.45
224.45,-0.46
226.7,-0.46
228.96,-0.46
231.25,-0.46
233.57,-0.46
235.9,-0.45
238.26,-0.45
240.64,-0.45
243.05,-0.44
245.48,-0.44
247.93,-0.43
250.41,-0.43
252.92,-0.42
255.45,-0.4
258.0,-0.39
260.58,-0.39
263.19,-0.37
265.82,-0.36
268.48,-0.35
271.16,-0.33
273.87,-0.31
276.61,-0.3
279.38,-0.27
282.17,-0.25
284.99,-0.22
287.84,-0.2
290.72,-0.18
293.63,-0.15
296.57,-0.13
