frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,4.63,4.63,-3.26,-3.27,3.31,0.22,7.94,7.94,7.89
20.20,4.57,4.57,-3.33,-3.33,3.34,0.23,7.91,7.91,7.90
20.40,4.51,4.52,-3.39,-3.38,3.37,0.24,7.88,7.89,7.90
20.61,4.48,4.47,-3.42,-3.43,3.40,0.25,7.88,7.88,7.90
20.81,4.44,4.44,-3.46,-3.46,3.43,0.26,7.87,7.87,7.90
21.02,4.42,4.42,-3.48,-3.49,3.46,0.27,7.88,7.88,7.90
21.23,4.40,4.40,-3.50,-3.50,3.48,0.28,7.88,7.89,7.90
21.44,4.39,4.39,-3.51,-3.51,3.51,0.29,7.90,7.90,7.90
21.66,4.39,4.39,-3.51,-3.52,3.52,0.30,7.91,7.91,7.90
21.87,4.38,4.38,-3.53,-3.53,3.54,0.30,7.92,7.92,7.91
22.09,4.36,4.36,-3.55,-3.55,3.56,0.31,7.92,7.92,7.91
22.31,4.33,4.33,-3.58,-3.57,3.59,0.32,7.91,7.92,7.91
22.54,4.30,4.30,-3.60,-3.61,3.62,0.33,7.92,7.92,7.91
22.76,4.26,4.26,-3.65,-3.65,3.66,0.34,7.92,7.91,7.91
22.99,4.21,4.21,-3.70,-3.69,3.70,0.35,7.91,7.91,7.91
23.22,4.16,4.16,-3.75,-3.75,3.74,0.36,7.90,7.90,7.91
23.45,4.11,4.11,-3.80,-3.79,3.78,0.37,7.89,7.89,7.91
23.69,4.07,4.07,-3.83,-3.83,3.82,0.37,7.89,7.89,7.91
23.92,4.04,4.04,-3.87,-3.86,3.85,0.38,7.89,7.89,7.90
24.16,4.02,4.02,-3.88,-3.89,3.88,0.39,7.90,7.89,7.90
24.40,4.00,4.00,-3.90,-3.90,3.90,0.40,7.90,7.90,7.90
24.65,3.99,3.99,-3.91,-3.91,3.91,0.41,7.90,7.90,7.90
24.89,3.98,3.98,-3.92,-3.92,3.93,0.41,7.91,7.91,7.90
25.14,3.97,3.97,-3.93,-3.94,3.95,0.42,7.92,7.91,7.90
25.39,3.94,3.95,-3.96,-3.96,3.97,0.43,7.91,7.92,7.90
25.65,3.92,3.92,-3.98,-3.99,4.00,0.43,7.92,7.92,7.90
25.91,3.88,3.88,-4.02,-4.02,4.03,0.44,7.92,7.91,7.90
26.16,3.83,3.83,-4.07,-4.07,4.07,0.45,7.90,7.90,7.90
26.43,3.78,3.78,-4.12,-4.12,4.11,0.45,7.89,7.89,7.90
26.69,3.74,3.74,-4.16,-4.16,4.15,0.46,7.89,7.89,7.90
26.96,3.70,3.70,-4.20,-4.20,4.18,0.46,7.88,7.88,7.90
27.23,3.67,3.67,-4.23,-4.22,4.21,0.47,7.88,7.89,7.90
27.50,3.65,3.65,-4.25,-4.25,4.24,0.47,7.89,7.89,7.90
27.77,3.63,3.63,-4.27,-4.27,4.27,0.48,7.89,7.90,7.90
28.05,3.61,3.61,-4.28,-4.28,4.29,0.48,7.90,7.90,7.89
28.33,3.59,3.59,-4.30,-4.31,4.32,0.48,7.91,7.90,7.89
28.62,3.56,3.56,-4.33,-4.33,4.35,0.49,7.91,7.90,7.89
28.90,3.52,3.52,-4.37,-4.37,4.38,0.49,7.90,7.90,7.89
29.19,3.48,3.48,-4.41,-4.41,4.42,0.49,7.90,7.89,7.89
29.48,3.43,3.43,-4.46,-4.46,4.45,0.50,7.88,7.88,7.89
29.78,3.38,3.38,-4.50,-4.50,4.49,0.50,7.87,7.87,7.88
30.08,3.34,3.34,-4.54,-4.54,4.53,0.50,7.87,7.87,7.88
30.38,3.30,3.30,-4.58,-4.58,4.56,0.50,7.86,7.87,7.88
30.68,3.27,3.27,-4.61,-4.60,4.60,0.50,7.87,7.87,7.88
30.99,3.25,3.25,-4.63,-4.63,4.63,0.50,7.88,7.88,7.88
31.30,3.22,3.22,-4.65,-4.66,4.67,0.50,7.89,7.89,7.87
31.61,3.18,3.18,-4.69,-4.69,4.71,0.50,7.89,7.89,7.87
31.93,3.13,3.13,-4.74,-4.74,4.75,0.50,7.88,7.88,7.87
32.24,3.08,3.08,-4.79,-4.79,4.79,0.50,7.87,7.87,7.87
32.57,3.02,3.02,-4.84,-4.84,4.84,0.50,7.86,7.86,7.86
32.89,2.96,2.96,-4.90,-4.90,4.88,0.50,7.84,7.85,7.86
33.22,2.91,2.91,-4.95,-4.94,4.93,0.50,7.84,7.84,7.86
33.55,2.87,2.87,-4.98,-4.98,4.97,0.50,7.84,7.84,7.85
33.89,2.83,2.83,-5.02,-5.01,5.02,0.50,7.85,7.85,7.85
34.23,2.80,2.79,-5.04,-5.05,5.06,0.49,7.86,7.85,7.84
34.57,2.75,2.75,-5.09,-5.09,5.10,0.49,7.85,7.85,7.84
34.92,2.70,2.70,-5.13,-5.13,5.14,0.49,7.84,7.84,7.83
35.27,2.65,2.65,-5.18,-5.18,5.19,0.48,7.84,7.83,7.83
35.62,2.59,2.59,-5.23,-5.23,5.23,0.48,7.82,7.82,7.83
35.97,2.54,2.54,-5.28,-5.28,5.28,0.47,7.81,7.81,7.82
36.33,2.48,2.48,-5.33,-5.33,5.32,0.47,7.80,7.80,7.81
36.70,2.44,2.44,-5.37,-5.37,5.36,0.46,7.80,7.80,7.81
37.06,2.39,2.39,-5.41,-5.41,5.41,0.45,7.80,7.80,7.80
37.43,2.35,2.35,-5.45,-5.44,5.45,0.45,7.80,7.80,7.80
37.81,2.31,2.31,-5.48,-5.48,5.49,0.44,7.80,7.80,7.79
38.19,2.26,2.26,-5.52,-5.52,5.54,0.43,7.80,7.79,7.78
38.57,2.20,2.20,-5.57,-5.57,5.58,0.43,7.78,7.78,7.77
38.95,2.14,2.14,-5.63,-5.62,5.62,0.42,7.76,7.76,7.77
39.34,2.09,2.09,-5.67,-5.67,5.66,0.41,7.75,7.74,7.76
39.74,2.04,2.04,-5.71,-5.71,5.69,0.40,7.74,7.74,7.75
40.14,2.00,2.00,-5.74,-5.74,5.73,0.39,7.73,7.74,7.74
40.54,1.97,1.97,-5.76,-5.76,5.77,0.38,7.74,7.73,7.73
40.94,1.93,1.93,-5.79,-5.79,5.80,0.37,7.73,7.73,7.72
41.35,1.88,1.88,-5.83,-5.83,5.83,0.36,7.71,7.72,7.71
41.76,1.84,1.84,-5.86,-5.86,5.87,0.35,7.71,7.70,7.70
42.18,1.79,1.79,-5.90,-5.90,5.90,0.33,7.69,7.69,7.69
42.60,1.74,1.74,-5.94,-5.94,5.93,0.32,7.67,7.67,7.68
43.03,1.69,1.69,-5.97,-5.97,5.97,0.31,7.66,7.66,7.66
43.46,1.64,1.64,-6.01,-6.01,6.01,0.29,7.65,7.65,7.65
43.90,1.60,1.60,-6.04,-6.04,6.04,0.28,7.64,7.64,7.64
44.33,1.55,1.55,-6.07,-6.08,6.08,0.27,7.63,7.63,7.62
44.78,1.49,1.49,-6.12,-6.11,6.11,0.25,7.61,7.61,7.61
45.23,1.44,1.44,-6.15,-6.15,6.15,0.24,7.59,7.59,7.59
45.68,1.39,1.39,-6.19,-6.19,6.18,0.22,7.57,7.57,7.58
46.13,1.34,1.34,-6.22,-6.22,6.22,0.20,7.56,7.56,7.56
46.60,1.29,1.29,-6.25,-6.25,6.26,0.19,7.55,7.55,7.54
47.06,1.24,1.24,-6.29,-6.29,6.29,0.17,7.53,7.53,7.53
47.53,1.18,1.18,-6.33,-6.33,6.33,0.15,7.51,7.51,7.51
48.01,1.12,1.12,-6.37,-6.37,6.37,0.14,7.49,7.49,7.49
48.49,1.06,1.06,-6.41,-6.41,6.41,0.12,7.47,7.47,7.47
48.97,0.99,0.99,-6.46,-6.45,6.45,0.10,7.44,7.44,7.45
49.46,0.93,0.93,-6.50,-6.49,6.49,0.08,7.42,7.42,7.43
49.96,0.87,0.87,-6.53,-6.54,6.54,0.06,7.41,7.40,7.40
50.46,0.80,0.80,-6.58,-6.58,6.58,0.04,7.38,7.38,7.38
50.96,0.73,0.73,-6.62,-6.63,6.63,0.02,7.36,7.36,7.35
51.47,0.65,0.65,-6.68,-6.67,6.68,-0.00,7.33,7.33,7.33
51.99,0.58,0.58,-6.72,-6.73,6.72,-0.02,7.30,7.30,7.30
52.51,0.50,0.50,-6.77,-6.77,6.77,-0.04,7.27,7.27,7.27
53.03,0.42,0.42,-6.83,-6.82,6.82,-0.07,7.24,7.24,7.25
53.56,0.35,0.35,-6.87,-6.87,6.87,-0.09,7.22,7.22,7.22
54.10,0.27,0.27,-6.92,-6.92,6.92,-0.11,7.19,7.19,7.19
54.64,0.19,0.19,-6.96,-6.97,6.97,-0.13,7.16,7.16,7.15
55.18,0.10,0.10,-7.02,-7.02,7.02,-0.16,7.12,7.12,7.12
