frequency,raw
20.0,0.27
20.2,0.26
20.4,0.25
20.61,0.25
20.81,0.25
21.02,0.24
21.23,0.23
21.44,0.22
21.66,0.22
21.87,0.21
22.09,0.2
22.31,0.2
22.54,0.19
22.76,0.18
22.99,0.18
23.22,0.18
23.45,0.17
23.69,0.17
23.92,0.17
24.16,0.17
24.4,0.17
24.65,0.16
24.89,0.16
25.14,0.16
25.39,0.16
25.65,0.16
25.91,0.16
26.16,0.15
26.43,0.15
26.69,0.14
26.96,0.13
27.23,0.13
27.5,0.12
27.77,0.12
28.05,0.11
28.33,0.12
28.62,0.12
28.9,0.12
29.19,0.11
29.48,0.12
29.78,0.12
30.08,0.1
30.38,0.1
30.68,0.09
30.99,0.09
31.3,0.07
31.61,0.07
31.93,0.07
32.24,0.07
32.57,0.07
32.89,0.06
33.22,0.06
33.55,0.06
33.89,0.07
34.23,0.06
34.57,0.05
34.92,0.05
35.27,0.05
35.62,0.04
35.97,0.04
36.33,0.02
36.7,0.02
37.06,0.02
37.43,0.01
37.81,-0.0
38.19,-0.0
38.57,0.0
38.95,-0.01
39.34,-0.02
39.74,-0.04
40.14,-0.04
40.54,-0.04
40.94,-0.04
41.35,-0.05
41.76,-0.06
42.18,-0.06
42.6,-0.08
43.03,-0.08
43.46,-0.09
43.9,-0.1
44.33,-0.11
44.78,-0.12
45.23,-0.12
45.68,-0.13
46.13,-0.14
46.6,-0.15
47.06,-0.16
47.53,-0.16
48.01,-0.17
48.49,-0.17
48.97,-0.17
49.46,-0.18
49.96,-0.18
50.46,-0.19
50.96,-0.19
51.47,-0.2
51.99,-0.21
52.51,-0.22
53.03,-0.22
53.56,-0.23
54.1,-0.23
54.64,-0.24
55.18,-0.24
55.74,-0.25
56.29,-0.25
56.86,-0.25
57.42,-0.26
58.0,-0.25
58.58,-0.25
59.16,-0.25
59.76,-0.24
60.35,-0.25
60.96,-0.26
61.57,-0.26
62.18,-0.27
62.8,-0.27
63.43,-0.26
64.07,-0.26
64.71,-0.27
65.35,-0.27
66.01,-0.25
66.67,-0.25
67.33,-0.25
68.01,-0.24
68.69,-0.24
