frequency,raw
20.0,-0.17
20.2,-0.21
20.4,-0.23
20.61,-0.23
20.81,-0.2
21.02,-0.15
21.23,-0.09
21.44,-0.03
21.66,0.03
21.87,0.08
22.09,0.11
22.31,0.13
22.54,0.13
22.76,0.13
22.99,0.12
23.22,0.12
23.45,0.13
23.69,0.15
23.92,0.17
24.16,0.2
24.4,0.21
24.65,0.23
24.89,0.23
25.14,0.24
25.39,0.23
25.65,0.23
25.91,0.24
26.16,0.24
26.43,0.26
26.69,0.28
26.96,0.3
27.23,0.32
27.5,0.34
27.77,0.36
28.05,0.38
28.33,0.38
28.62,0.4
28.9,0.4
29.19,0.39
29.48,0.39
29.78,0.38
30.08,0.37
30.38,0.37
30.68,0.37
30.99,0.37
31.3,0.36
31.61,0.35
31.93,0.35
32.24,0.34
32.57,0.34
32.89,0.33
33.22,0.33
33.55,0.34
33.89,0.34
34.23,0.35
34.57,0.34
34.92,0.34
35.27,0.34
35.62,0.33
35.97,0.32
36.33,0.32
36.7,0.31
37.06,0.31
37.43,0.31
37.81,0.32
38.19,0.31
38.57,0.3
38.95,0.3
39.34,0.29
39.74,0.28
40.14,0.27
40.54,0.25
40.94,0.25
41.35,0.24
41.76,0.23
42.18,0.21
42.6,0.21
43.03,0.2
43.46,0.18
43.9,0.16
44.33,0.13
44.78,0.12
45.23,0.1
45.68,0.09
46.13,0.08
46.6,0.08
47.06,0.07
47.53,0.06
48.01,0.05
48.49,0.04
48.97,0.03
49.46,0.03
49.96,0.04
50.46,0.03
50.96,0.01
51.47,0.0
51.99,-0.01
52.51,-0.01
53.03,-0.01
53.56,-0.02
54.1,-0.03
54.64,-0.06
55.18,-0.08
55.74,-0.1
56.29,-0.12
56.86,-0.12
57.42,-0.12
58.0,-0.13
58.58,-0.13
59.16,-0.13
59.76,-0.12
60.35,-0.12
60.96,-0.13
61.57,-0.13
62.18,-0.15
62.8,-0.18
63.43,-0.21
64.07,-0.23
64.71,-0.24
65.35,-0.26
66.01,-0.27
66.67,-0.29
67.33,-0.29
68.01,-0.3
68.69,-0.32
69.37,-0.32
70.07,-0.35
70.77,-0.36
71.48,-0.37
72.19,-0.37
72.91,-0.37
73.64,-0.36
74.38,-0.35
75.12,-0.36
75.87,-0.38
76.63,-0.4
77.4,-0.4
78.17,-0.4
78.95,-0.37
79.74,-0.35
80.54,-0.34
81.35,-0.34
82.16,-0.34
82.98,-0.33
83.81,-0.33
84.65,-0.34
85.5,-0.34
86.35,-0.34
87.22,-0.33
88.09,-0.33
