frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,4.61,4.61,-4.38,-4.39,4.47,-0.18,9.09,9.09,9.00
20.20,4.57,4.57,-4.42,-4.42,4.44,-0.19,9.01,9.01,9.00
20.40,4.56,4.56,-4.43,-4.44,4.40,-0.19,8.97,8.96,9.00
20.61,4.55,4.56,-4.44,-4.43,4.37,-0.20,8.92,8.93,8.99
20.81,4.59,4.59,-4.40,-4.40,4.33,-0.20,8.93,8.93,8.99
21.02,4.64,4.64,-4.35,-4.35,4.30,-0.20,8.94,8.94,8.99
21.23,4.70,4.71,-4.29,-4.28,4.26,-0.21,8.97,8.97,8.99
21.44,4.77,4.77,-4.22,-4.22,4.23,-0.21,9.00,9.00,8.99
21.66,4.84,4.84,-4.15,-4.15,4.17,-0.22,9.01,9.01,8.99
21.87,4.89,4.89,-4.09,-4.10,4.12,-0.22,9.02,9.01,8.99
22.09,4.92,4.93,-4.06,-4.06,4.09,-0.23,9.01,9.01,8.99
22.31,4.94,4.94,-4.04,-4.04,4.06,-0.23,9.00,9.00,8.98
22.54,4.95,4.95,-4.03,-4.03,4.04,-0.24,8.99,8.99,8.98
22.76,4.94,4.95,-4.04,-4.03,4.03,-0.24,8.97,8.98,8.98
22.99,4.94,4.94,-4.04,-4.04,4.02,-0.24,8.96,8.96,8.98
23.22,4.94,4.94,-4.03,-4.03,4.01,-0.25,8.95,8.95,8.98
23.45,4.95,4.96,-4.02,-4.02,4.00,-0.25,8.95,8.96,8.98
23.69,4.98,4.98,-3.99,-3.99,3.98,-0.26,8.96,8.96,8.97
23.92,5.01,5.01,-3.96,-3.96,3.96,-0.27,8.97,8.97,8.97
24.16,5.04,5.04,-3.93,-3.93,3.94,-0.27,8.98,8.98,8.97
24.40,5.06,5.06,-3.90,-3.91,3.92,-0.28,8.98,8.98,8.97
24.65,5.07,5.08,-3.89,-3.89,3.90,-0.28,8.97,8.98,8.97
24.89,5.08,5.08,-3.88,-3.88,3.89,-0.29,8.97,8.97,8.96
25.14,5.09,5.09,-3.87,-3.87,3.87,-0.29,8.97,8.96,8.96
25.39,5.09,5.09,-3.87,-3.87,3.86,-0.30,8.96,8.96,8.96
25.65,5.09,5.10,-3.86,-3.86,3.85,-0.31,8.95,8.95,8.96
25.91,5.10,5.10,-3.85,-3.85,3.84,-0.31,8.94,8.94,8.95
26.16,5.11,5.12,-3.84,-3.84,3.83,-0.32,8.94,8.94,8.95
26.43,5.13,5.14,-3.82,-3.81,3.81,-0.33,8.94,8.94,8.95
26.69,5.16,5.16,-3.78,-3.79,3.79,-0.33,8.95,8.94,8.94
26.96,5.18,5.18,-3.76,-3.76,3.76,-0.34,8.94,8.94,8.94
27.23,5.20,5.21,-3.74,-3.73,3.73,-0.35,8.94,8.94,8.94
27.50,5.23,5.23,-3.70,-3.71,3.71,-0.35,8.94,8.94,8.94
27.77,5.25,5.25,-3.68,-3.68,3.68,-0.36,8.93,8.93,8.93
28.05,5.27,5.28,-3.66,-3.65,3.66,-0.37,8.93,8.93,8.93
28.33,5.29,5.29,-3.63,-3.64,3.64,-0.38,8.93,8.93,8.93
28.62,5.30,5.30,-3.62,-3.62,3.63,-0.38,8.93,8.93,8.92
28.90,5.30,5.31,-3.61,-3.61,3.62,-0.39,8.92,8.92,8.92
29.19,5.31,5.31,-3.60,-3.61,3.61,-0.40,8.92,8.91,8.91
29.48,5.30,5.31,-3.61,-3.60,3.60,-0.41,8.90,8.91,8.91
29.78,5.30,5.30,-3.60,-3.60,3.59,-0.42,8.90,8.90,8.90
30.08,5.30,5.30,-3.60,-3.60,3.59,-0.43,8.89,8.89,8.90
30.38,5.30,5.31,-3.59,-3.59,3.59,-0.44,8.89,8.89,8.90
30.68,5.31,5.31,-3.58,-3.58,3.58,-0.45,8.90,8.89,8.89
30.99,5.31,5.31,-3.57,-3.57,3.58,-0.46,8.89,8.89,8.89
31.30,5.31,5.31,-3.57,-3.57,3.57,-0.47,8.89,8.89,8.88
31.61,5.31,5.31,-3.56,-3.57,3.57,-0.48,8.88,8.88,8.88
31.93,5.30,5.31,-3.57,-3.56,3.56,-0.49,8.87,8.87,8.87
32.24,5.30,5.30,-3.56,-3.56,3.56,-0.50,8.86,8.86,8.86
32.57,5.30,5.30,-3.55,-3.55,3.55,-0.51,8.85,8.85,8.86
32.89,5.30,5.31,-3.55,-3.55,3.54,-0.52,8.85,8.85,8.85
33.22,5.31,5.31,-3.53,-3.54,3.53,-0.53,8.85,8.84,8.84
33.55,5.31,5.32,-3.52,-3.52,3.52,-0.54,8.83,8.84,8.84
33.89,5.32,5.32,-3.51,-3.51,3.51,-0.55,8.83,8.83,8.83
34.23,5.33,5.33,-3.49,-3.49,3.49,-0.56,8.83,8.82,8.82
34.57,5.33,5.34,-3.48,-3.48,3.48,-0.58,8.82,8.82,8.82
34.92,5.34,5.34,-3.47,-3.47,3.47,-0.59,8.82,8.81,8.81
35.27,5.34,5.34,-3.46,-3.46,3.46,-0.60,8.81,8.81,8.80
35.62,5.34,5.34,-3.45,-3.45,3.45,-0.62,8.80,8.79,8.79
35.97,5.33,5.34,-3.45,-3.45,3.44,-0.63,8.78,8.78,8.78
36.33,5.33,5.33,-3.44,-3.44,3.43,-0.64,8.77,8.77,8.77
36.70,5.33,5.33,-3.43,-3.43,3.42,-0.66,8.76,8.76,8.76
37.06,5.33,5.34,-3.42,-3.42,3.41,-0.67,8.75,8.75,8.75
37.43,5.34,5.34,-3.40,-3.40,3.40,-0.69,8.75,8.75,8.74
37.81,5.35,5.35,-3.38,-3.38,3.39,-0.70,8.74,8.74,8.73
38.19,5.35,5.35,-3.37,-3.37,3.38,-0.72,8.73,8.73,8.72
38.57,5.35,5.35,-3.36,-3.36,3.36,-0.74,8.72,8.71,8.71
38.95,5.34,5.35,-3.36,-3.35,3.35,-0.75,8.70,8.70,8.70
39.34,5.34,5.34,-3.35,-3.34,3.34,-0.77,8.69,8.69,8.69
39.74,5.34,5.34,-3.33,-3.33,3.33,-0.79,8.68,8.68,8.68
40.14,5.34,5.34,-3.32,-3.32,3.33,-0.81,8.67,8.67,8.66
40.54,5.33,5.33,-3.32,-3.32,3.32,-0.83,8.65,8.65,8.65
40.94,5.32,5.33,-3.31,-3.31,3.31,-0.84,8.63,8.63,8.64
41.35,5.32,5.32,-3.30,-3.30,3.30,-0.86,8.62,8.61,8.62
41.76,5.31,5.32,-3.29,-3.29,3.29,-0.88,8.60,8.60,8.61
42.18,5.31,5.32,-3.28,-3.28,3.28,-0.91,8.59,8.59,8.59
42.60,5.31,5.31,-3.26,-3.26,3.27,-0.93,8.58,8.58,8.58
43.03,5.31,5.31,-3.25,-3.25,3.26,-0.95,8.58,8.57,8.56
43.46,5.29,5.29,-3.25,-3.25,3.26,-0.97,8.55,8.55,8.54
43.90,5.27,5.27,-3.25,-3.25,3.25,-0.99,8.52,8.52,8.52
44.33,5.25,5.26,-3.25,-3.25,3.24,-1.02,8.50,8.50,8.51
44.78,5.24,5.25,-3.24,-3.24,3.23,-1.04,8.48,8.48,8.49
45.23,5.24,5.24,-3.22,-3.23,3.22,-1.07,8.47,8.46,8.47
45.68,5.23,5.23,-3.21,-3.22,3.21,-1.09,8.45,8.45,8.45
46.13,5.22,5.23,-3.20,-3.20,3.20,-1.12,8.42,8.43,8.43
46.60,5.22,5.22,-3.18,-3.18,3.18,-1.14,8.41,8.41,8.40
47.06,5.22,5.22,-3.16,-3.16,3.16,-1.17,8.39,8.39,8.38
47.53,5.22,5.22,-3.14,-3.14,3.14,-1.20,8.37,8.36,8.36
48.01,5.21,5.21,-3.12,-3.12,3.12,-1.23,8.33,8.33,8.34
48.49,5.20,5.21,-3.11,-3.10,3.10,-1.26,8.30,8.30,8.31
48.97,5.20,5.21,-3.08,-3.08,3.07,-1.29,8.28,8.28,8.29
