frequency,raw
20.0,1.81
20.2,1.76
20.4,1.71
20.61,1.67
20.81,1.62
21.02,1.57
21.23,1.53
21.44,1.5
21.66,1.47
21.87,1.46
22.09,1.44
22.31,1.42
22.54,1.42
22.76,1.39
22.99,1.36
23.22,1.34
23.45,1.3
23.69,1.28
23.92,1.25
24.16,1.23
24.4,1.21
24.65,1.18
24.89,1.16
25.14,1.13
25.39,1.1
25.65,1.08
25.91,1.04
26.16,1.02
26.43,1.0
26.69,0.98
26.96,0.96
27.23,0.95
27.5,0.93
27.77,0.92
28.05,0.89
28.33,0.86
28.62,0.83
28.9,0.8
29.19,0.77
29.48,0.74
29.78,0.72
30.08,0.7
30.38,0.68
30.68,0.66
30.99,0.64
31.3,0.61
31.61,0.59
31.93,0.56
32.24,0.54
32.57,0.52
32.89,0.51
33.22,0.49
33.55,0.48
33.89,0.45
34.23,0.43
34.57,0.39
34.92,0.36
35.27,0.35
35.62,0.33
35.97,0.32
36.33,0.3
36.7,0.29
37.06,0.26
37.43,0.23
37.81,0.22
38.19,0.2
38.57,0.17
38.95,0.15
39.34,0.14
39.74,0.11
40.14,0.08
40.54,0.06
40.94,0.04
41.35,0.02
41.76,0.02
42.18,0.01
42.6,-0.01
43.03,-0.03
43.46,-0.05
43.9,-0.06
44.33,-0.08
44.78,-0.1
45.23,-0.14
45.68,-0.17
46.13,-0.19
46.6,-0.2
47.06,-0.2
47.53,-0.2
48.01,-0.21
48.49,-0.24
48.97,-0.26
49.46,-0.27
49.96,-0.27
50.46,-0.25
50.96,-0.24
51.47,-0.25
51.99,-0.27
52.51,-0.31
53.03,-0.34
53.56,-0.37
54.1,-0.38
54.64,-0.39
55.18,-0.39
55.74,-0.38
56.29,-0.38
56.86,-0.38
57.42,-0.39
58.0,-0.43
58.58,-0.46
59.16,-0.51
59.76,-0.53
60.35,-0.54
60.96,-0.56
61.57,-0.57
62.18,-0.57
62.8,-0.55
63.43,-0.52
64.07,-0.5
64.71,-0.49
65.35,-0.47
66.01,-0.46
66.67,-0.46
67.33,-0.47
68.01,-0.48
68.69,-0.49
69.37,-0.51
70.07,-0.52
70.77,-0.52
71.48,-0.51
72.19,-0.5
72.91,-0.49
73.64,-0.5
74.38,-0.5
75.12,-0.51
75.87,-0.5
76.63,-0.49
