frequency,raw
20.0,0.85
20.2,0.81
20.4,0.78
20.61,0.76
20.81,0.75
21.02,0.75
21.23,0.75
21.44,0.77
21.66,0.79
21.87,0.8
22.09,0.81
22.31,0.8
22.54,0.79
22.76,0.77
22.99,0.74
23.22,0.72
23.45,0.7
23.69,0.69
23.92,0.68
24.16,0.68
24.4,0.69
24.65,0.71
24.89,0.73
25.14,0.74
25.39,0.74
25.65,0.74
25.91,0.73
26.16,0.71
26.43,0.69
26.69,0.67
26.96,0.66
27.23,0.66
27.5,0.67
27.77,0.67
28.05,0.69
28.33,0.69
28.62,0.7
28.9,0.68
29.19,0.68
29.48,0.67
29.78,0.64
30.08,0.63
30.38,0.62
30.68,0.62
30.99,0.63
31.3,0.63
31.61,0.63
31.93,0.62
32.24,0.6
32.57,0.57
32.89,0.55
33.22,0.53
33.55,0.52
33.89,0.52
34.23,0.52
34.57,0.51
34.92,0.5
35.27,0.48
35.62,0.46
35.97,0.45
36.33,0.43
36.7,0.42
37.06,0.41
37.43,0.41
37.81,0.41
38.19,0.4
38.57,0.38
38.95,0.35
39.34,0.34
39.74,0.33
40.14,0.33
40.54,0.34
40.94,0.34
41.35,0.34
41.76,0.34
42.18,0.33
42.6,0.31
43.03,0.31
43.46,0.31
43.9,0.3
44.33,0.29
44.78,0.28
45.23,0.27
45.68,0.26
46.13,0.26
46.6,0.24
47.06,0.24
47.53,0.22
48.01,0.21
48.49,0.19
48.97,0.17
49.46,0.14
49.96,0.13
50.46,0.11
50.96,0.07
51.47,0.04
51.99,0.01
52.51,-0.02
53.03,-0.06
53.56,-0.09
54.1,-0.14
54.64,-0.17
55.18,-0.21
55.74,-0.26
56.29,-0.3
56.86,-0.34
57.42,-0.38
58.0,-0.42
58.58,-0.47
59.16,-0.5
59.76,-0.54
60.35,-0.56
60.96,-0.59
61.57,-0.63
62.18,-0.65
62.8,-0.69
63.43,-0.71
64.07,-0.73
64.71,-0.77
65.35,-0.8
66.01,-0.82
66.67,-0.84
67.33,-0.86
68.01,-0.88
68.69,-0.9
69.37,-0.93
70.07,-0.95
70.77,-0.95
71.48,-0.97
72.19,-0.98
72.91,-1.0
73.64,-1.02
74.38,-1.02
75.12,-1.03
75.87,-1.03
76.63,-1.03
77.4,-1.03
78.17,-1.03
78.95,-1.01
79.74,-0.99
80.54,-0.98
81.35,-0.95
82.16,-0.93
82.98,-0.89
83.81,-0.85
84.65,-0.81
85.5,-0.77
86.35,-0.71
87.22,-0.66
88.09,-0.61
88.97,-0.56
89.86,-0.5
90.76,-0.44
91.66,-0.38
92.58,-0.32
93.51,-0.25
94.44,-0.19
95.39,-0.13
96.34,-0.08
97.3,-0.02
98.28,0.03
99.26,0.1
100.25,0.16
101.25,0.22
102.27,0.28
103.29,0.33
104.32,0.38
105.37,0.43
106.42,0.49
107.48,0.54
108.56,0.58
109.64,0.63
110.74,0.67
111.85,0.72
112.97,0.76
114.1,0.81
115.24,0.86
116.39,0.9
117.55,0.94
118.73,0.97
119.92,1.0
121.12,1.02
122.33,1.04
123.55,1.06
124.79,1.06
126.03,1.07
127.29,1.07
128.57,1.07
129.85,1.07
131.15,1.06
132.46,1.05
133.79,1.05
135.12,1.03
136.48,1.03
137.84,1.01
139.22,0.98
