frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,4.63,4.63,-3.58,-3.58,3.62,0.43,8.25,8.25,8.21
20.20,4.57,4.57,-3.63,-3.63,3.64,0.44,8.21,8.21,8.20
20.40,4.51,4.52,-3.67,-3.67,3.65,0.45,8.16,8.17,8.18
20.61,4.48,4.47,-3.69,-3.70,3.67,0.46,8.15,8.14,8.17
20.81,4.44,4.44,-3.72,-3.71,3.68,0.46,8.12,8.12,8.16
21.02,4.42,4.42,-3.72,-3.72,3.70,0.47,8.12,8.11,8.14
21.23,4.40,4.40,-3.73,-3.73,3.71,0.48,8.11,8.11,8.13
21.44,4.39,4.39,-3.72,-3.72,3.72,0.49,8.11,8.11,8.11
21.66,4.39,4.39,-3.71,-3.71,3.72,0.50,8.11,8.11,8.10
21.87,4.38,4.38,-3.71,-3.71,3.72,0.51,8.10,8.10,8.09
22.09,4.36,4.36,-3.71,-3.71,3.73,0.52,8.09,8.09,8.07
22.31,4.33,4.33,-3.73,-3.73,3.74,0.53,8.07,8.07,8.06
22.54,4.30,4.30,-3.75,-3.75,3.76,0.54,8.06,8.06,8.05
22.76,4.26,4.26,-3.78,-3.78,3.79,0.55,8.05,8.05,8.04
22.99,4.21,4.21,-3.82,-3.82,3.82,0.56,8.03,8.03,8.03
23.22,4.16,4.16,-3.85,-3.85,3.85,0.57,8.01,8.01,8.01
23.45,4.11,4.11,-3.89,-3.89,3.88,0.59,7.98,7.99,8.00
23.69,4.07,4.07,-3.91,-3.91,3.90,0.60,7.97,7.97,7.98
23.92,4.04,4.04,-3.93,-3.93,3.92,0.61,7.95,7.96,7.97
24.16,4.02,4.02,-3.93,-3.94,3.93,0.62,7.95,7.94,7.95
24.40,4.00,4.00,-3.94,-3.94,3.93,0.63,7.93,7.93,7.94
24.65,3.99,3.99,-3.94,-3.93,3.93,0.64,7.92,7.93,7.93
24.89,3.98,3.98,-3.93,-3.93,3.94,0.66,7.92,7.92,7.91
25.14,3.97,3.97,-3.93,-3.93,3.94,0.67,7.91,7.91,7.90
25.39,3.94,3.95,-3.94,-3.94,3.95,0.68,7.89,7.90,7.88
25.65,3.92,3.92,-3.95,-3.95,3.97,0.69,7.89,7.88,7.87
25.91,3.88,3.88,-3.97,-3.98,3.99,0.71,7.87,7.86,7.85
26.16,3.83,3.83,-4.01,-4.01,4.01,0.72,7.84,7.84,7.84
26.43,3.78,3.78,-4.04,-4.04,4.04,0.73,7.82,7.82,7.82
26.69,3.74,3.74,-4.08,-4.08,4.06,0.75,7.80,7.80,7.82
26.96,3.70,3.70,-4.10,-4.10,4.08,0.76,7.79,7.79,7.80
27.23,3.67,3.67,-4.12,-4.12,4.10,0.78,7.77,7.78,7.79
27.50,3.65,3.65,-4.12,-4.12,4.12,0.79,7.77,7.77,7.77
27.77,3.63,3.63,-4.13,-4.13,4.13,0.80,7.76,7.76,7.76
28.05,3.61,3.61,-4.13,-4.13,4.14,0.82,7.75,7.75,7.74
28.33,3.59,3.59,-4.14,-4.14,4.15,0.83,7.74,7.74,7.73
28.62,3.56,3.56,-4.15,-4.15,4.17,0.85,7.73,7.73,7.71
28.90,3.52,3.52,-4.18,-4.18,4.19,0.86,7.71,7.71,7.70
29.19,3.48,3.48,-4.20,-4.20,4.21,0.88,7.69,7.69,7.68
29.48,3.43,3.43,-4.24,-4.23,4.23,0.90,7.66,7.66,7.67
29.78,3.38,3.38,-4.27,-4.27,4.26,0.91,7.64,7.64,7.65
30.08,3.34,3.34,-4.29,-4.30,4.28,0.93,7.62,7.62,7.63
30.38,3.30,3.30,-4.33,-4.32,4.31,0.94,7.61,7.61,7.63
30.68,3.27,3.27,-4.34,-4.34,4.33,0.96,7.60,7.60,7.61
30.99,3.25,3.25,-4.34,-4.35,4.35,0.98,7.60,7.60,7.59
31.30,3.22,3.22,-4.36,-4.36,4.37,0.99,7.59,7.59,7.58
31.61,3.18,3.18,-4.38,-4.38,4.40,1.01,7.58,7.58,7.56
31.93,3.13,3.13,-4.41,-4.41,4.43,1.03,7.56,7.56,7.54
32.24,3.08,3.08,-4.45,-4.45,4.46,1.05,7.54,7.53,7.53
32.57,3.02,3.02,-4.49,-4.49,4.49,1.06,7.51,7.51,7.51
32.89,2.96,2.96,-4.53,-4.53,4.52,1.08,7.48,7.48,7.49
33.22,2.91,2.91,-4.57,-4.57,4.55,1.10,7.46,7.46,7.48
33.55,2.87,2.87,-4.60,-4.60,4.58,1.12,7.45,7.45,7.47
33.89,2.83,2.83,-4.62,-4.62,4.61,1.14,7.44,7.45,7.45
34.23,2.80,2.79,-4.63,-4.64,4.64,1.16,7.44,7.44,7.43
34.57,2.75,2.75,-4.66,-4.66,4.67,1.17,7.42,7.43,7.41
34.92,2.70,2.70,-4.70,-4.69,4.70,1.19,7.40,7.41,7.40
35.27,2.65,2.65,-4.73,-4.73,4.74,1.21,7.39,7.38,7.38
35.62,2.59,2.59,-4.77,-4.77,4.77,1.23,7.36,7.36,7.36
35.97,2.54,2.54,-4.80,-4.80,4.80,1.25,7.34,7.34,7.34
36.33,2.48,2.48,-4.85,-4.84,4.83,1.27,7.31,7.31,7.33
36.70,2.44,2.44,-4.87,-4.87,4.86,1.29,7.30,7.30,7.31
37.06,2.39,2.39,-4.90,-4.90,4.89,1.31,7.28,7.28,7.29
37.43,2.35,2.35,-4.92,-4.92,4.92,1.33,7.27,7.28,7.27
37.81,2.31,2.31,-4.94,-4.94,4.95,1.35,7.26,7.26,7.25
38.19,2.26,2.26,-4.97,-4.97,4.98,1.37,7.24,7.24,7.23
38.57,2.20,2.20,-5.01,-5.01,5.01,1.39,7.21,7.21,7.21
38.95,2.14,2.14,-5.05,-5.05,5.04,1.40,7.18,7.18,7.19
39.34,2.09,2.09,-5.08,-5.08,5.07,1.42,7.16,7.16,7.17
39.74,2.04,2.04,-5.11,-5.11,5.09,1.44,7.13,7.14,7.15
40.14,2.00,2.00,-5.13,-5.13,5.12,1.46,7.12,7.12,7.13
40.54,1.97,1.97,-5.14,-5.14,5.14,1.48,7.11,7.11,7.11
40.94,1.93,1.93,-5.15,-5.16,5.17,1.50,7.10,7.09,7.08
41.35,1.88,1.88,-5.18,-5.18,5.19,1.52,7.07,7.07,7.06
41.76,1.84,1.84,-5.21,-5.20,5.21,1.54,7.05,7.04,7.05
42.18,1.79,1.79,-5.23,-5.23,5.23,1.56,7.02,7.02,7.02
42.60,1.74,1.74,-5.26,-5.26,5.25,1.57,6.99,6.99,7.00
43.03,1.69,1.69,-5.28,-5.28,5.28,1.59,6.97,6.97,6.97
43.46,1.64,1.64,-5.30,-5.30,5.30,1.61,6.94,6.95,6.94
43.90,1.60,1.60,-5.32,-5.33,5.33,1.63,6.93,6.92,6.92
44.33,1.55,1.55,-5.35,-5.35,5.35,1.64,6.90,6.90,6.90
44.78,1.49,1.49,-5.38,-5.38,5.38,1.66,6.87,6.87,6.87
45.23,1.44,1.44,-5.41,-5.41,5.40,1.68,6.84,6.84,6.85
45.68,1.39,1.39,-5.43,-5.43,5.43,1.69,6.82,6.81,6.82
46.13,1.34,1.34,-5.45,-5.45,5.45,1.71,6.79,6.79,6.79
46.60,1.29,1.29,-5.48,-5.48,5.48,1.72,6.77,6.77,6.77
47.06,1.24,1.24,-5.50,-5.50,5.50,1.74,6.74,6.74,6.74
47.53,1.18,1.18,-5.53,-5.53,5.53,1.75,6.71,6.71,6.71
48.01,1.12,1.12,-5.56,-5.56,5.56,1.77,6.68,6.68,6.68
48.49,1.06,1.06,-5.58,-5.59,5.59,1.78,6.65,6.64,6.64
48.97,0.99,0.99,-5.63,-5.62,5.62,1.79,6.61,6.61,6.62
49.46,0.93,0.93,-5.66,-5.66,5.65,1.80,6.58,6.58,6.59
49.96,0.87,0.87,-5.68,-5.69,5.69,1.82,6.56,6.56,6.55
50.46,0.80,0.80,-5.72,-5.72,5.73,1.83,6.53,6.53,6.52
50.96,0.73,0.73,-5.76,-5.76,5.76,1.83,6.49,6.49,6.49
51.47,0.65,0.65,-5.81,-5.80,5.80,1.84,6.45,6.46,6.46
51.99,0.58,0.58,-5.84,-5.84,5.84,1.85,6.42,6.42,6.42
52.51,0.50,0.50,-5.88,-5.88,5.88,1.86,6.38,6.38,6.38
53.03,0.42,0.42,-5.93,-5.92,5.92,1.86,6.34,6.35,6.35
53.56,0.35,0.35,-5.96,-5.96,5.97,1.87,6.31,6.31,6.31
54.10,0.27,0.27,-6.00,-6.01,6.01,1.87,6.28,6.28,6.27
54.64,0.19,0.19,-6.05,-6.05,6.05,1.88,6.24,6.24,6.24
55.18,0.10,0.10,-6.10,-6.09,6.09,1.88,6.19,6.20,6.20
55.74,0.02,0.02,-6.13,-6.14,6.14,1.88,6.16,6.15,6.15
56.29,-0.07,-0.07,-6.18,-6.18,6.18,1.88,6.11,6.11,6.11
56.86,-0.15,-0.15,-6.22,-6.22,6.22,1.88,6.07,6.07,6.07
57.42,-0.23,-0.23,-6.26,-6.26,6.26,1.88,6.03,6.03,6.03
58.00,-0.32,-0.32,-6.30,-6.30,6.30,1.88,5.98,5.98,5.98
58.58,-0.40,-0.40,-6.34,-6.34,6.33,1.87,5.93,5.93,5.94
59.16,-0.48,-0.48,-6.37,-6.37,6.37,1.87,5.89,5.89,5.89
59.76,-0.55,-0.55,-6.39,-6.40,6.40,1.86,5.85,5.84,5.84
60.35,-0.62,-0.62,-6.42,-6.42,6.42,1.86,5.80,5.80,5.80
60.96,-0.70,-0.70,-6.45,-6.44,6.44,1.85,5.75,5.75,5.75
61.57,-0.77,-0.77,-6.46,-6.47,6.47,1.84,5.70,5.69,5.69
62.18,-0.84,-0.84,-6.49,-6.48,6.48,1.83,5.64,5.64,5.65
62.80,-0.91,-0.91,-6.50,-6.50,6.50,1.81,5.59,5.59,5.59
63.43,-0.97,-0.97,-6.51,-6.51,6.51,1.80,5.54,5.54,5.53
64.07,-1.04,-1.04,-6.53,-6.52,6.53,1.79,5.49,5.49,5.49
64.71,-1.11,-1.11,-6.54,-6.54,6.54,1.77,5.43,5.43,5.43
65.35,-1.17,-1.17,-6.55,-6.55,6.54,1.75,5.37,5.37,5.38
66.01,-1.24,-1.24,-6.55,-6.55,6.55,1.73,5.31,5.31,5.31
66.67,-1.30,-1.30,-6.55,-6.55,6.55,1.71,5.25,5.25,5.25
67.33,-1.36,-1.36,-6.56,-6.55,6.56,1.69,5.19,5.19,5.20
68.01,-1.42,-1.42,-6.55,-6.55,6.55,1.67,5.13,5.13,5.13
68.69,-1.48,-1.48,-6.55,-6.55,6.55,1.65,5.07,5.07,5.07
69.37,-1.54,-1.54,-6.55,-6.55,6.54,1.62,5.00,5.01,5.01
70.07,-1.59,-1.59,-6.54,-6.54,6.54,1.59,4.95,4.94,4.95
70.77,-1.65,-1.65,-6.53,-6.52,6.52,1.57,4.87,4.88,4.88
71.48,-1.70,-1.70,-6.50,-6.51,6.51,1.54,4.81,4.81,4.80
72.19,-1.75,-1.76,-6.49,-6.49,6.50,1.51,4.75,4.74,4.74
72.91,-1.81,-1.81,-6.48,-6.47,6.48,1.47,4.67,4.67,4.67
73.64,-1.86,-1.86,-6.46,-6.46,6.45,1.44,4.59,4.60,4.60
74.38,-1.90,-1.90,-6.42,-6.43,6.43,1.41,4.53,4.52,4.52
75.12,-1.95,-1.95,-6.41,-6.40,6.40,1.37,4.45,4.45,4.46
75.87,-1.98,-1.98,-6.36,-6.36,6.36,1.33,4.38,4.38,4.38
