frequency,raw
20.0,1.08
20.2,1.09
20.4,1.08
20.61,1.08
20.81,1.08
21.02,1.09
21.23,1.08
21.44,1.08
21.66,1.08
21.87,1.09
22.09,1.08
22.31,1.07
22.54,1.07
22.76,1.06
22.99,1.06
23.22,1.05
23.45,1.04
23.69,1.04
23.92,1.04
24.16,1.03
24.4,1.03
24.65,1.03
24.89,1.03
25.14,1.01
25.39,1.01
25.65,1.01
25.91,1.0
26.16,0.99
26.43,0.98
26.69,0.97
26.96,0.94
27.23,0.94
27.5,0.92
27.77,0.92
28.05,0.9
28.33,0.9
28.62,0.88
28.9,0.88
29.19,0.86
29.48,0.86
29.78,0.84
30.08,0.82
30.38,0.81
30.68,0.79
30.99,0.78
31.3,0.76
31.61,0.75
31.93,0.73
32.24,0.71
32.57,0.7
32.89,0.68
33.22,0.67
33.55,0.65
33.89,0.63
34.23,0.61
34.57,0.6
34.92,0.58
35.27,0.56
35.62,0.54
35.97,0.51
36.33,0.49
36.7,0.47
37.06,0.45
37.43,0.43
37.81,0.41
38.19,0.39
38.57,0.37
38.95,0.35
39.34,0.32
39.74,0.29
40.14,0.27
40.54,0.24
40.94,0.23
41.35,0.2
41.76,0.17
42.18,0.15
42.6,0.13
43.03,0.1
43.46,0.08
43.9,0.05
44.33,0.02
44.78,0.0
45.23,-0.02
45.68,-0.05
46.13,-0.08
46.6,-0.1
47.06,-0.13
47.53,-0.15
48.01,-0.17
48.49,-0.2
48.97,-0.22
49.46,-0.24
49.96,-0.26
50.46,-0.28
50.96,-0.31
51.47,-0.33
51.99,-0.35
52.51,-0.37
53.03,-0.39
53.56,-0.41
54.1,-0.43
54.64,-0.45
55.18,-0.47
55.74,-0.49
56.29,-0.5
56.86,-0.52
57.42,-0.53
58.0,-0.54
58.58,-0.54
59.16,-0.55
59.76,-0.56
60.35,-0.57
60.96,-0.59
61.57,-0.6
62.18,-0.61
62.8,-0.62
63.43,-0.62
64.07,-0.63
64.71,-0.63
65.35,-0.63
66.01,-0.63
66.67,-0.63
67.33,-0.63
68.01,-0.63
68.69,-0.63
69.37,-0.62
70.07,-0.62
70.77,-0.62
71.48,-0.63
72.19,-0.62
72.91,-0.62
73.64,-0.62
74.38,-0.61
75.12,-0.6
75.87,-0.59
76.63,-0.57
77.4,-0.56
78.17,-0.55
78.95,-0.54
79.74,-0.52
80.54,-0.51
81.35,-0.48
82.16,-0.46
82.98,-0.44
83.81,-0.42
84.65,-0.4
85.5,-0.38
86.35,-0.36
87.22,-0.34
88.09,-0.33
88.97,-0.31
89.86,-0.29
90.76,-0.27
91.66,-0.25
92.58,-0.23
93.51,-0.2
94.44,-0.18
95.39,-0.16
96.34,-0.14
97.3,-0.12
98.28,-0.1
99.26,-0.08
100.25,-0.05
101.25,-0.03
102.27,-0.01
103.29,0.0
104.32,0.01
105.37,0.03
106.42,0.04
107.48,0.06
108.56,0.07
109.64,0.07
110.74,0.08
111.85,0.09
112.97,0.09
114.1,0.09
115.24,0.09
116.39,0.08
117.55,0.08
118.73,0.08
119.92,0.09
121.12,0.1
122.33,0.1
123.55,0.1
124.79,0.1
126.03,0.11
127.29,0.12
128.57,0.14
129.85,0.16
131.15,0.19
132.46,0.22
133.79,0.26
135.12,0.3
136.48,0.34
137.84,0.37
139.22,0.41
140.61,0.46
142.02,0.51
143.44,0.57
144.87,0.63
146.32,0.68
147.78,0.74
149.26,0.78
150.75,0.82
152.26,0.86
153.78,0.9
155.32,0.92
156.88,0.95
158.44,0.96
160.03,0.97
161.63,0.97
163.24,0.96
164.88,0.95
166.53,0.94
168.19,0.93
169.87,0.91
171.57,0.88
173.29,0.85
175.02,0.83
176.77,0.79
178.54,0.76
180.32,0.73
182.13,0.69
183.95,0.66
185.79,0.61
187.65,0.58
189.52,0.54
191.42,0.5
193.33,0.47
195.27,0.42
197.22,0.38
199.19,0.34
201.18,0.31
203.19,0.27
205.23,0.24
207.28,0.2
209.35,0.17
211.44,0.14
213.56,0.1
215.69,0.08
217.85,0.05
220.03,0.02
222.23,0.0
224.45,-0.03
226.7,-0.05
228.96,-0.09
231.25,-0.12
233.57,-0.14
235.9,-0.16
238.26,-0.18
240.64,-0.2
243.05,-0.23
245.48,-0.24
247.93,-0.26
250.41,-0.28
252.92,-0.29
255.45,-0.32
258.0,-0.33
260.58,-0.35
263.19,-0.37
265.82,-0.39
268.48,-0.41
271.16,-0.43
273.87,-0.44
276.61,-0.45
279.38,-0.47
282.17,-0.48
284.99,-0.49
287.84,-0.5
290.72,-0.51
293.63,-0.52
296.57,-0.54
299.53,-0.55
302.53,-0.56
305.55,-0.58
308.61,-0.6
311.69,-0.61
314.81,-0.62
317.96,-0.63
321.14,-0.63
324.35,-0.64
327.59,-0.65
330.87,-0.65
334.18,-0.67
337.52,-0.67
340.9,-0.67
344.3,-0.66
347.75,-0.66
351.23,-0.66
354.74,-0.65
358.28,-0.64
361.87,-0.64
365.49,-0.62
369.14,-0.61
372.83,-0.6
376.56,-0.59
380.33,-0.59
384.13,-0.59
387.97,-0.6
391.85,-0.61
395.77,-0.62
399.73,-0.63
403.72,-0.66
407.76,-0.69
411.84,-0.72
415.96,-0.76
420.12,-0.8
424.32,-0.84
428.56,-0.86
432.85,-0.91
437.18,-0.94
441.55,-0.96
445.96,-0.98
450.42,-0.97
454.93,-0.96
459.48,-0.93
464.07,-0.88
468.71,-0.81
473.4,-0.72
478.13,-0.61
482.91,-0.48
487.74,-0.34
492.62,-0.2
497.55,-0.05
502.52,0.09
507.55,0.23
512.62,0.36
517.75,0.49
522.93,0.64
528.16,0.76
533.44,0.89
538.77,1.0
544.16,1.09
549.6,1.16
555.1,1.23
560.65,1.26
566.25,1.3
571.92,1.32
577.64,1.34
583.41,1.37
589.25,1.37
595.14,1.38
601.09,1.38
607.1,1.37
613.17,1.36
619.3,1.35
625.5,1.33
631.75,1.3
638.07,1.28
644.45,1.25
650.89,1.21
657.4,1.17
663.98,1.12
670.62,1.07
677.32,1.02
684.1,0.97
690.94,0.91
697.85,0.86
704.83,0.8
711.87,0.75
718.99,0.68
726.18,0.62
733.44,0.55
740.78,0.49
748.19,0.42
755.67,0.36
763.23,0.3
770.86,0.24
778.57,0.18
786.35,0.13
794.22,0.07
802.16,0.02
810.18,-0.04
818.28,-0.09
826.46,-0.15
834.73,-0.2
843.08,-0.24
851.51,-0.28
860.02,-0.31
868.62,-0.34
877.31,-0.39
886.08,-0.42
894.94,-0.45
903.89,-0.49
912.93,-0.52
922.06,-0.54
931.28,-0.57
940.59,-0.59
950.0,-0.61
959.5,-0.63
969.09,-0.66
978.78,-0.68
988.57,-0.69
998.46,-0.71
1008.44,-0.73
1018.53,-0.75
1028.71,-0.77
1039.0,-0.78
1049.39,-0.8
1059.88,-0.81
1070.48,-0.82
1081.19,-0.84
1092.0,-0.85
1102.92,-0.85
1113.95,-0.85
1125.09,-0.85
1136.34,-0.85
1147.7,-0.84
1159.18,-0.84
1170.77,-0.82
1182.48,-0.81
1194.3,-0.79
1206.25,-0.75
1218.31,-0.73
1230.49,-0.69
1242.8,-0.65
1255.22,-0.61
1267.78,-0.57
1280.45,-0.52
1293.26,-0.48
1306.19,-0.44
1319.25,-0.39
1332.45,-0.32
1345.77,-0.27
1359.23,-0.22
1372.82,-0.16
1386.55,-0.11
1400.41,-0.05
1414.42,0.01
1428.56,0.07
1442.85,0.13
1457.28,0.19
1471.85,0.25
1486.57,0.32
1501.43,0.37
1516.45,0.43
1531.61,0.49
1546.93,0.55
1562.4,0.6
1578.02,0.66
1593.8,0.71
1609.74,0.77
1625.84,0.82
1642.1,0.87
1658.52,0.92
1675.1,0.97
1691.85,1.02
1708.77,1.06
1725.86,1.1
1743.12,1.15
1760.55,1.19
1778.15,1.23
1795.94,1.26
1813.9,1.3
1832.03,1.33
1850.36,1.35
1868.86,1.36
1887.55,1.37
1906.42,1.37
1925.49,1.37
1944.74,1.36
1964.19,1.35
1983.83,1.33
2003.67,1.3
2023.71,1.26
2043.94,1.21
2064.38,1.17
2085.03,1.11
2105.88,1.05
2126.94,0.98
2148.2,0.91
2169.69,0.83
2191.38,0.75
2213.3,0.65
2235.43,0.56
2257.78,0.47
2280.36,0.37
2303.17,0.28
2326.2,0.18
2349.46,0.07
2372.95,-0.03
2396.68,-0.13
2420.65,-0.24
2444.86,-0.34
2469.31,-0.45
2494.0,-0.55
2518.94,-0.65
2544.13,-0.73
2569.57,-0.82
2595.27,-0.91
2621.22,-1.0
2647.43,-1.1
