frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,3.23,3.23,2.87,2.87,-2.86,-1.04,0.37,0.37,0.36
20.20,3.22,3.22,2.86,2.86,-2.86,-1.06,0.36,0.36,0.36
20.40,3.21,3.22,2.85,2.85,-2.86,-1.08,0.36,0.36,0.36
20.61,3.21,3.21,2.85,2.85,-2.85,-1.10,0.36,0.36,0.36
20.81,3.21,3.21,2.85,2.85,-2.85,-1.12,0.37,0.36,0.36
21.02,3.20,3.21,2.84,2.84,-2.84,-1.14,0.36,0.37,0.36
21.23,3.20,3.20,2.84,2.83,-2.83,-1.16,0.37,0.37,0.36
21.44,3.19,3.19,2.82,2.82,-2.83,-1.19,0.37,0.37,0.37
21.66,3.18,3.19,2.81,2.82,-2.82,-1.21,0.36,0.37,0.37
21.87,3.18,3.18,2.81,2.81,-2.81,-1.23,0.37,0.37,0.37
22.09,3.17,3.17,2.80,2.80,-2.80,-1.25,0.37,0.37,0.37
22.31,3.16,3.16,2.79,2.79,-2.79,-1.28,0.37,0.37,0.37
22.54,3.15,3.15,2.78,2.78,-2.78,-1.30,0.37,0.37,0.38
22.76,3.15,3.15,2.78,2.77,-2.78,-1.33,0.38,0.37,0.37
22.99,3.14,3.14,2.77,2.77,-2.77,-1.35,0.37,0.37,0.37
23.22,3.13,3.13,2.76,2.76,-2.76,-1.38,0.37,0.37,0.37
23.45,3.12,3.12,2.75,2.75,-2.75,-1.40,0.37,0.37,0.37
23.69,3.12,3.12,2.75,2.75,-2.75,-1.43,0.37,0.37,0.37
23.92,3.11,3.11,2.74,2.74,-2.74,-1.46,0.37,0.37,0.37
24.16,3.10,3.11,2.73,2.74,-2.74,-1.49,0.37,0.37,0.37
24.40,3.10,3.10,2.73,2.73,-2.73,-1.51,0.37,0.37,0.37
24.65,3.09,3.09,2.73,2.72,-2.73,-1.54,0.37,0.37,0.37
24.89,3.08,3.09,2.72,2.72,-2.72,-1.57,0.36,0.37,0.37
25.14,3.08,3.08,2.72,2.71,-2.71,-1.60,0.37,0.36,0.36
25.39,3.07,3.07,2.71,2.71,-2.71,-1.63,0.36,0.36,0.36
25.65,3.06,3.06,2.70,2.70,-2.70,-1.66,0.36,0.36,0.36
25.91,3.05,3.05,2.69,2.69,-2.69,-1.69,0.36,0.36,0.36
26.16,3.04,3.04,2.68,2.68,-2.68,-1.72,0.36,0.36,0.36
26.43,3.03,3.03,2.67,2.67,-2.67,-1.75,0.36,0.36,0.36
26.69,3.02,3.02,2.66,2.66,-2.66,-1.78,0.37,0.36,0.37
26.96,3.00,3.01,2.64,2.64,-2.64,-1.82,0.36,0.36,0.36
27.23,2.99,2.99,2.63,2.63,-2.63,-1.85,0.36,0.36,0.36
27.50,2.98,2.98,2.62,2.62,-2.62,-1.88,0.36,0.36,0.36
