frequency,raw
20.0,-0.31
20.29,-0.33
20.59,-0.41
20.89,-0.52
21.19,-0.63
21.5,-0.67
21.81,-0.68
22.13,-0.62
22.45,-0.54
22.78,-0.47
23.11,-0.44
23.44,-0.44
23.78,-0.46
24.13,-0.46
24.48,-0.45
24.84,-0.43
25.2,-0.42
25.56,-0.43
25.94,-0.45
26.31,-0.46
26.7,-0.43
27.09,-0.37
27.48,-0.33
27.88,-0.32
28.28,-0.34
28.7,-0.38
29.11,-0.39
29.54,-0.38
29.97,-0.33
30.4,-0.3
30.84,-0.3
31.29,-0.31
31.75,-0.29
32.21,-0.25
32.68,-0.2
33.15,-0.18
33.64,-0.19
34.13,-0.21
34.62,-0.22
35.13,-0.21
35.64,-0.19
36.15,-0.17
36.68,-0.15
37.21,-0.15
37.75,-0.16
38.3,-0.16
38.86,-0.15
39.43,-0.13
40.0,-0.14
40.58,-0.18
41.17,-0.19
41.77,-0.16
42.38,-0.13
42.99,-0.12
43.62,-0.1
44.25,-0.05
44.9,-0.04
45.55,-0.11
46.21,-0.17
46.89,-0.12
47.57,-0.04
48.26,-0.04
48.96,-0.1
49.67,-0.05
50.4,0.1
51.13,0.18
51.87,0.13
52.63,0.07
53.39,0.04
54.17,0.02
54.96,0.04
55.76,0.11
56.57,0.17
57.39,0.15
58.23,0.05
59.07,-0.12
59.93,-0.19
60.8,-0.19
61.69,-0.23
62.59,-0.22
63.5,-0.09
64.42,0.03
65.36,0.09
66.31,0.16
67.27,0.16
68.25,0.06
69.24,-0.01
70.25,-0.03
71.27,0.03
72.31,0.09
73.36,0.05
74.43,-0.02
75.51,-0.0
76.61,0.04
77.72,0.01
78.85,-0.03
80.0,-0.07
81.16,0.0
82.34,-0.01
83.54,-0.03
84.76,-0.07
85.99,0.0
87.24,0.04
88.51,0.05
89.8,0.06
91.1,0.11
92.43,0.11
93.77,0.06
95.14,0.16
96.52,0.13
97.92,0.11
99.35,0.04
100.79,0.0
102.26,-0.02
103.75,-0.03
105.26,0.05
106.79,0.15
108.34,0.19
109.92,0.15
111.52,0.18
113.14,0.27
114.78,0.32
116.45,0.27
118.15,0.21
119.86,0.22
121.61,0.3
123.38,0.26
125.17,0.29
126.99,0.42
128.84,0.41
130.71,0.35
132.61,0.32
134.54,0.32
136.5,0.45
138.49,0.55
140.5,0.51
142.54,0.41
144.62,0.38
146.72,0.47
148.85,0.49
151.02,0.45
153.22,0.48
155.45,0.59
157.71,0.69
160.0,0.81
162.33,0.72
164.69,0.73
167.08,0.85
169.51,0.89
171.98,0.88
174.48,0.94
177.02,1.01
179.59,1.09
182.21,1.04
184.86,1.06
187.55,1.16
190.27,1.19
193.04,1.14
195.85,1.11
198.7,1.17
201.59,1.28
204.52,1.41
207.49,1.38
210.51,1.22
213.57,1.32
216.68,1.55
219.83,1.71
223.03,1.72
226.27,1.59
229.57,1.75
232.9,1.8
236.29,1.73
239.73,1.85
243.22,2.06
246.75,2.08
250.34,2.13
253.98,2.08
257.68,1.96
261.43,2.06
265.23,2.23
269.09,2.27
273.0,2.26
276.97,2.13
281.0,2.22
285.09,2.51
289.23,2.46
293.44,2.15
297.71,2.36
302.04,2.71
306.43,2.68
310.89,2.46
315.41,2.64
320.0,2.73
324.65,2.66
329.38,2.93
334.17,2.79
339.03,2.93
343.96,2.86
348.96,2.98
354.04,3.03
359.19,2.88
364.41,2.96
369.71,2.99
375.09,3.11
380.55,3.12
386.08,3.04
391.7,3.07
397.39,3.12
403.17,3.17
409.04,3.27
414.99,3.28
421.02,3.24
427.15,3.25
433.36,3.24
439.67,3.22
446.06,3.12
452.55,3.11
459.13,3.24
465.81,3.05
472.58,3.04
479.46,3.16
486.43,3.21
493.51,3.06
500.69,3.21
507.97,3.25
515.36,3.18
522.85,3.25
530.46,3.14
538.17,3.28
546.0,3.18
553.94,3.34
562.0,3.19
570.18,3.38
578.47,3.39
586.88,3.38
595.42,3.42
604.08,3.42
612.87,3.32
621.78,3.29
630.82,3.47
640.0,3.45
649.31,3.16
658.75,3.34
668.34,3.22
678.06,3.35
687.92,3.19
697.92,3.26
708.08,3.32
718.38,3.09
728.82,3.27
739.43,3.05
750.18,3.0
761.09,3.33
772.16,3.0
783.39,3.1
794.79,3.13
806.35,3.02
818.08,3.09
829.98,3.11
842.05,3.0
854.3,2.88
866.72,2.64
879.33,2.74
892.12,2.61
905.1,2.53
918.26,2.47
931.62,2.42
945.17,2.35
958.92,2.29
972.86,2.18
987.01,2.05
1001.37,2.0
1015.94,1.81
1030.71,1.89
1045.71,1.61
1060.92,1.71
1076.35,1.43
1092.0,1.4
1107.89,1.36
1124.0,1.19
1140.35,1.18
1156.94,1.04
1173.77,0.93
1190.84,0.88
1208.16,0.75
1225.73,0.62
1243.56,0.5
1261.65,0.26
1280.0,0.18
1298.62,0.05
1317.51,-0.05
1336.67,-0.11
1356.11,-0.37
1375.84,-0.47
1395.85,-0.74
1416.15,-0.87
1436.75,-0.88
1457.65,-0.83
1478.85,-0.86
1500.36,-0.74
1522.19,-0.77
1544.33,-0.73
1566.79,-0.78
1589.58,-0.83
1612.7,-0.85
1636.16,-0.93
1659.95,-1.12
1684.1,-1.27
1708.6,-1.39
1733.45,-1.55
1758.66,-1.5
1784.24,-1.61
1810.19,-1.84
1836.52,-1.92
1863.24,-1.98
1890.34,-2.11
1917.83,-2.52
1945.73,-2.74
1974.03,-2.65
2002.74,-2.9
2031.87,-3.17
2061.43,-3.11
2091.41,-3.47
2121.83,-3.32
2152.69,-3.32
2184.01,-3.5
2215.77,-3.5
2248.0,-3.39
2280.7,-3.43
2313.87,-3.53
2347.53,-3.58
2381.68,-3.65
2416.32,-3.71
2451.46,-3.8
2487.12,-3.97
2523.3,-4.08
2560.0,-4.34
2597.24,-4.54
2635.01,-4.52
2673.34,-4.45
2712.23,-4.65
2751.68,-4.73
2791.7,-4.89
2832.31,-4.64
2873.5,-4.61
2915.3,-4.63
2957.7,-4.43
3000.72,-4.59
3044.37,-4.5
3088.65,-4.56
3133.58,-4.41
3179.16,-4.38
3225.4,-4.36
3272.31,-4.33
3319.91,-4.21
3368.2,-4.13
3417.19,-4.13
3466.89,-3.82
3517.32,-3.64
3568.48,-3.54
3620.39,-3.52
3673.05,-3.63
3726.47,-3.4
3780.67,-3.11
3835.67,-3.06
3891.46,-3.09
3948.06,-2.98
4005.49,-2.3
4063.75,-2.62
4122.86,-2.41
4182.82,-2.5
4243.66,-1.93
4305.39,-1.66
4368.01,-1.47
4431.55,-1.15
4496.01,-0.96
4561.4,-0.78
4627.75,-0.37
4695.06,0.13
4763.35,0.3
4832.64,0.54
4902.93,0.88
4974.24,1.09
5046.6,1.26
