frequency,raw
20.20,1.22
20.57,0.82
20.96,0.62
21.35,0.48
21.74,0.34
22.15,0.20
22.56,0.05
22.98,-0.09
23.41,-0.23
23.85,-0.22
24.29,-0.19
24.74,-0.13
25.21,-0.09
25.68,-0.05
26.15,0.00
26.64,0.00
27.14,0.00
27.64,0.00
28.16,-0.02
28.68,-0.05
29.22,-0.05
29.76,-0.02
30.32,0.00
30.88,0.05
31.46,0.07
32.04,0.11
32.64,0.11
33.25,0.09
33.87,0.05
34.50,0.01
35.14,-0.01
35.80,0.00
36.47,0.03
37.15,0.05
37.84,0.08
38.54,0.08
39.26,0.05
39.99,0.04
40.74,0.04
41.50,-0.04
42.27,-0.06
43.06,-0.12
43.86,-0.13
44.68,-0.13
45.51,-0.07
46.36,-0.02
47.22,0.03
48.10,0.02
49.00,0.04
49.91,0.00
50.84,-0.03
51.79,-0.08
52.76,-0.13
53.74,-0.11
54.74,-0.09
55.76,-0.08
56.80,-0.04
57.86,-0.04
58.94,-0.02
60.04,0.00
61.16,0.00
62.30,0.02
63.46,0.00
64.64,0.00
65.84,-0.01
67.07,-0.02
68.32,-0.01
69.59,0.05
70.89,0.08
72.21,0.08
73.56,0.08
74.93,0.06
76.33,0.05
77.75,0.05
79.20,0.08
80.67,0.10
82.18,0.11
83.71,0.10
85.27,0.11
86.86,0.11
88.48,0.11
90.13,0.11
91.81,0.12
93.52,0.12
95.26,0.14
97.03,0.16
98.84,0.17
100.69,0.17
102.56,0.18
104.47,0.21
106.42,0.23
108.40,0.23
110.42,0.25
112.48,0.28
114.58,0.29
116.71,0.31
118.89,0.34
121.10,0.37
123.36,0.38
125.66,0.40
128.00,0.40
130.39,0.39
132.82,0.41
135.29,0.43
137.82,0.45
140.38,0.50
143.00,0.53
145.67,0.53
148.38,0.55
151.15,0.60
153.96,0.62
156.83,0.67
159.75,0.67
162.73,0.70
165.76,0.75
168.85,0.76
172.00,0.76
175.21,0.82
178.47,0.86
181.80,0.88
185.19,0.90
188.64,0.94
192.15,0.98
195.73,1.04
199.38,1.06
203.10,1.09
206.88,1.12
210.74,1.15
214.67,1.21
218.67,1.24
222.74,1.30
226.89,1.35
231.12,1.39
235.43,1.42
239.82,1.48
244.29,1.52
248.84,1.56
253.48,1.61
258.20,1.68
263.01,1.72
267.92,1.75
272.91,1.81
278.00,1.85
283.18,1.87
288.45,1.91
293.83,2.03
299.31,2.08
304.89,2.09
310.57,2.10
316.36,2.14
322.25,2.20
328.26,2.25
334.38,2.31
