frequency,raw
20.0,0.02
20.2,0.02
20.4,0.02
20.61,0.02
20.81,0.02
21.02,0.02
21.23,0.02
21.44,0.02
21.66,0.02
21.87,0.02
22.09,0.02
22.31,0.02
22.54,0.03
22.76,0.03
22.99,0.03
23.22,0.03
23.45,0.03
23.69,0.03
23.92,0.03
24.16,0.03
24.41,0.03
24.65,0.03
24.9,0.03
25.15,0.03
25.4,0.03
25.65,0.03
25.91,0.03
26.17,0.03
26.43,0.03
26.69,0.04
26.96,0.04
27.23,0.04
27.5,0.04
27.78,0.04
28.05,0.04
28.34,0.04
28.62,0.04
28.9,0.04
29.19,0.04
29.49,0.04
29.78,0.04
30.08,0.04
30.38,0.05
30.68,0.05
30.99,0.05
31.3,0.05
31.61,0.05
31.93,0.05
32.25,0.05
32.57,0.05
32.9,0.05
33.23,0.05
33.56,0.06
33.9,0.06
34.23,0.06
34.58,0.06
34.92,0.06
35.27,0.06
35.62,0.06
35.98,0.06
36.34,0.07
36.7,0.07
37.07,0.07
37.44,0.07
37.82,0.07
38.2,0.07
38.58,0.07
38.96,0.07
39.35,0.08
39.75,0.08
40.14,0.08
40.55,0.08
40.95,0.08
41.36,0.08
41.77,0.09
42.19,0.09
42.61,0.09
43.04,0.09
43.47,0.09
43.91,0.09
44.35,0.1
44.79,0.1
45.24,0.1
45.69,0.1
46.15,0.1
46.61,0.11
47.07,0.11
47.55,0.11
48.02,0.11
48.5,0.11
48.99,0.12
49.48,0.12
49.97,0.12
50.47,0.12
50.98,0.13
51.49,0.13
52.0,0.13
52.52,0.13
53.05,0.14
53.58,0.14
54.11,0.14
54.65,0.15
55.2,0.15
55.75,0.15
56.31,0.15
56.87,0.16
57.44,0.16
58.02,0.16
58.6,0.17
59.18,0.17
59.78,0.17
60.37,0.18
60.98,0.18
61.59,0.18
62.21,0.19
62.83,0.19
63.46,0.19
64.09,0.2
64.73,0.2
65.38,0.21
66.03,0.21
66.69,0.21
67.36,0.22
68.03,0.22
68.72,0.23
69.4,0.23
70.1,0.24
70.8,0.24
71.51,0.24
72.22,0.25
72.94,0.25
73.67,0.26
74.41,0.26
75.16,0.27
75.91,0.27
76.67,0.28
77.43,0.28
78.21,0.29
78.99,0.3
79.78,0.3
80.58,0.31
81.38,0.31
82.2,0.32
83.02,0.33
83.85,0.33
84.69,0.34
85.54,0.34
86.39,0.35
87.26,0.36
88.13,0.36
89.01,0.37
89.9,0.38
90.8,0.39
91.71,0.39
92.63,0.4
93.55,0.41
94.49,0.42
95.43,0.42
96.39,0.43
97.35,0.44
98.33,0.45
99.31,0.46
100.3,0.46
101.31,0.47
102.32,0.48
103.34,0.49
104.38,0.5
105.42,0.51
106.48,0.52
107.54,0.53
108.62,0.54
109.7,0.55
110.8,0.56
111.91,0.57
113.03,0.58
114.16,0.59
115.3,0.6
116.46,0.61
117.62,0.62
118.8,0.63
119.99,0.64
121.19,0.65
122.4,0.67
123.62,0.68
124.86,0.69
126.11,0.7
127.37,0.72
128.64,0.73
129.93,0.74
131.23,0.75
132.54,0.77
133.87,0.78
135.21,0.79
136.56,0.81
137.93,0.82
139.31,0.84
140.7,0.85
142.11,0.87
143.53,0.88
144.96,0.9
146.41,0.91
147.88,0.93
149.36,0.94
150.85,0.96
152.36,0.98
153.89,0.99
155.42,1.01
156.98,1.03
158.55,1.04
160.14,1.06
161.74,1.08
163.36,1.1
164.99,1.11
166.64,1.13
168.31,1.15
169.99,1.17
171.69,1.19
173.41,1.21
175.14,1.23
176.9,1.25
178.66,1.27
180.45,1.29
182.26,1.31
184.08,1.33
185.92,1.35
187.78,1.37
189.66,1.39
191.56,1.41
193.47,1.43
195.41,1.45
197.36,1.48
199.34,1.5
201.33,1.52
203.35,1.54
205.38,1.57
207.43,1.59
209.51,1.61
211.6,1.64
213.72,1.66
215.86,1.69
218.02,1.71
220.2,1.73
222.4,1.76
224.63,1.78
226.87,1.81
229.14,1.83
231.44,1.86
233.75,1.88
236.09,1.91
238.45,1.93
240.84,1.96
243.25,1.99
245.68,2.01
248.14,2.04
250.62,2.07
253.13,2.09
255.66,2.12
258.21,2.14
260.8,2.17
263.41,2.2
266.04,2.23
268.7,2.25
271.39,2.28
274.11,2.31
276.85,2.33
279.62,2.36
282.41,2.39
285.24,2.41
288.09,2.44
290.97,2.47
293.88,2.5
296.82,2.52
299.79,2.55
302.79,2.58
305.82,2.6
308.88,2.63
311.97,2.66
315.09,2.68
318.24,2.71
321.43,2.74
324.64,2.76
327.89,2.79
331.17,2.81
334.48,2.84
337.83,2.86
341.21,2.89
344.62,2.91
348.07,2.94
351.55,2.96
355.07,2.99
358.62,3.01
362.21,3.03
365.83,3.06
369.49,3.08
373.18,3.1
376.92,3.12
380.69,3.15
384.5,3.17
388.34,3.19
392.23,3.21
396.15,3.23
400.11,3.25
404.12,3.26
408.16,3.28
412.24,3.3
416.36,3.32
420.53,3.33
424.74,3.35
428.98,3.36
433.28,3.38
437.61,3.39
441.99,3.41
446.41,3.42
450.87,3.43
455.38,3.44
459.94,3.45
464.54,3.46
469.19,3.47
473.88,3.48
478.62,3.49
483.41,3.5
488.25,3.5
493.13,3.51
498.06,3.51
503.04,3.52
508.08,3.52
513.16,3.52
518.29,3.52
523.48,3.53
528.71,3.53
534.0,3.52
539.34,3.52
544.74,3.52
550.19,3.52
555.69,3.51
561.25,3.51
566.86,3.5
572.54,3.5
578.26,3.49
584.05,3.48
589.89,3.47
595.79,3.46
601.75,3.45
607.77,3.44
613.85,3.43
619.99,3.41
626.19,3.4
632.46,3.38
638.78,3.37
645.17,3.35
651.63,3.33
658.14,3.31
664.73,3.3
671.38,3.28
678.09,3.26
684.88,3.23
691.73,3.21
698.65,3.19
705.64,3.17
712.69,3.14
719.82,3.12
727.02,3.09
734.3,3.07
741.64,3.04
749.06,3.01
756.55,2.98
764.12,2.96
771.77,2.93
779.49,2.9
787.28,2.87
795.16,2.84
803.11,2.8
811.15,2.77
819.26,2.74
827.46,2.71
835.73,2.67
844.09,2.64
852.54,2.6
861.06,2.57
869.68,2.53
878.38,2.49
887.16,2.46
896.04,2.42
905.0,2.38
914.06,2.35
923.2,2.31
932.43,2.27
