frequency,raw
20.0,-0.65
20.29,-0.67
20.59,-0.71
20.89,-0.76
21.19,-0.81
21.5,-0.84
21.81,-0.84
22.13,-0.81
22.45,-0.77
22.78,-0.73
23.11,-0.72
23.44,-0.72
23.78,-0.73
24.13,-0.73
24.48,-0.72
24.84,-0.71
25.2,-0.71
25.56,-0.72
25.94,-0.73
26.31,-0.73
26.7,-0.71
27.09,-0.69
27.48,-0.66
27.88,-0.66
28.28,-0.67
28.7,-0.69
29.11,-0.7
29.54,-0.69
29.97,-0.67
30.4,-0.65
30.84,-0.65
31.29,-0.65
31.75,-0.65
32.21,-0.62
32.68,-0.6
33.15,-0.59
33.64,-0.59
34.13,-0.61
34.62,-0.61
35.13,-0.6
35.64,-0.6
36.15,-0.58
36.68,-0.58
37.21,-0.57
37.75,-0.58
38.3,-0.58
38.86,-0.57
39.43,-0.56
40.0,-0.57
40.58,-0.59
41.17,-0.6
41.77,-0.58
42.38,-0.56
42.99,-0.56
43.62,-0.55
44.25,-0.52
44.9,-0.52
45.55,-0.56
46.21,-0.59
46.89,-0.56
47.57,-0.52
48.26,-0.52
48.96,-0.55
49.67,-0.52
50.4,-0.45
51.13,-0.41
51.87,-0.43
52.63,-0.46
53.39,-0.48
54.17,-0.49
54.96,-0.48
55.76,-0.44
56.57,-0.42
57.39,-0.43
58.23,-0.48
59.07,-0.56
59.93,-0.6
60.8,-0.59
61.69,-0.62
62.59,-0.61
63.5,-0.54
64.42,-0.48
65.36,-0.45
66.31,-0.42
67.27,-0.42
68.25,-0.47
69.24,-0.5
70.25,-0.52
71.27,-0.48
72.31,-0.45
73.36,-0.47
74.43,-0.51
75.51,-0.5
76.61,-0.48
77.72,-0.49
78.85,-0.51
80.0,-0.54
81.16,-0.5
82.34,-0.51
83.54,-0.52
84.76,-0.53
85.99,-0.5
87.24,-0.48
88.51,-0.48
89.8,-0.47
91.1,-0.45
92.43,-0.45
93.77,-0.47
95.14,-0.42
96.52,-0.43
97.92,-0.44
99.35,-0.48
100.79,-0.5
102.26,-0.51
103.75,-0.51
105.26,-0.48
106.79,-0.43
108.34,-0.41
109.92,-0.42
111.52,-0.41
113.14,-0.37
114.78,-0.34
116.45,-0.36
118.15,-0.39
119.86,-0.39
121.61,-0.35
123.38,-0.37
125.17,-0.36
126.99,-0.29
128.84,-0.29
130.71,-0.33
132.61,-0.34
134.54,-0.34
136.5,-0.28
138.49,-0.22
140.5,-0.25
142.54,-0.3
144.62,-0.31
146.72,-0.26
148.85,-0.26
151.02,-0.27
153.22,-0.26
155.45,-0.2
157.71,-0.15
160.0,-0.1
162.33,-0.14
164.69,-0.13
167.08,-0.08
169.51,-0.05
171.98,-0.06
174.48,-0.03
177.02,0.01
179.59,0.04
182.21,0.02
184.86,0.03
187.55,0.08
190.27,0.1
193.04,0.07
195.85,0.05
198.7,0.09
201.59,0.14
204.52,0.2
207.49,0.19
210.51,0.11
213.57,0.16
216.68,0.28
219.83,0.36
223.03,0.36
226.27,0.3
229.57,0.37
232.9,0.4
236.29,0.36
239.73,0.42
243.22,0.53
246.75,0.54
250.34,0.57
253.98,0.54
257.68,0.48
261.43,0.53
265.23,0.61
269.09,0.64
273.0,0.63
276.97,0.56
281.0,0.61
285.09,0.76
289.23,0.73
293.44,0.57
297.71,0.68
302.04,0.86
306.43,0.84
310.89,0.73
315.41,0.82
320.0,0.87
324.65,0.83
329.38,0.96
334.17,0.9
339.03,0.96
343.96,0.93
348.96,0.99
354.04,1.02
359.19,0.94
364.41,0.98
369.71,0.99
375.09,1.06
380.55,1.06
386.08,1.02
391.7,1.04
397.39,1.06
403.17,1.09
409.04,1.13
414.99,1.14
421.02,1.12
427.15,1.13
433.36,1.12
439.67,1.11
446.06,1.06
452.55,1.05
459.13,1.12
465.81,1.02
472.58,1.02
479.46,1.08
486.43,1.11
493.51,1.03
500.69,1.1
507.97,1.12
515.36,1.09
522.85,1.12
530.46,1.07
538.17,1.14
546.0,1.09
553.94,1.17
562.0,1.1
570.18,1.19
